step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
12,7673200,4056,9570,35.765305,,0,8,8,96,46600,1172,2395,7626600,16,139,40,1,30349,1,40,1,1909095,1,2425329,1,85416,1,3164858,1,11472,1,322598,1,7605,4,484653,4,71369,4,752815,4,1486953,8,2237373,96,0,0,3136,1,32042,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1
13,7555200,4055,9570,35.728176,,0,8,8,96,40026,1262,2375,7515174,16,139,70,1,24397,1,40,1,1899576,1,2355233,1,84675,1,3140240,1,10941,1,292609,1,7625,4,484182,4,71669,4,750621,4,1492685,8,2240930,96,0,0,3056,1,33966,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1
14,7665600,4060,9570,35.688324,,0,8,8,96,37847,1202,2676,7627753,16,139,40,1,25279,1,120,1,1900338,1,2414288,1,85466,1,3190218,1,12003,1,332116,1,7374,4,488040,4,82090,4,754789,4,1483437,8,2235550,96,0,0,3527,1,35068,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1
15,7585800,4057,9570,35.64575,,0,8,8,96,38975,1002,2735,7546825,16,139,40,1,24548,1,40,1,1901059,1,2391784,1,85697,1,3132415,1,11242,1,280566,1,7715,4,496286,4,71489,4,747474,4,1493005,8,2237744,96,0,0,3006,1,29327,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1
16,7679000,4055,9570,35.600445,,0,8,8,96,42791,1272,2235,7636209,16,139,170,1,24087,1,50,1,1902462,1,2395411,1,103331,1,3199135,1,11562,1,376042,1,7775,4,489452,4,71339,4,745962,4,1475852,8,2219578,96,0,0,2876,1,25981,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1
17,7596600,4051,9570,35.552414,,0,8,8,96,41890,1152,2195,7554710,16,139,30,1,24147,1,20,1,1899105,1,2378558,1,97600,1,3144178,1,11072,1,308130,1,8056,4,510263,4,72371,4,741974,4,1477866,8,2217645,96,0,0,2836,1,18947,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1
18,7641100,4049,9570,35.501663,,0,8,8,96,37685,1272,2806,7603415,16,139,30,1,24057,1,50,1,1900618,1,2388127,1,97269,1,3182242,1,11021,1,345232,1,8096,4,508590,4,72040,4,748977,4,1474690,8,2220861,96,0,0,2886,1,17895,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1
19,7711300,4050,9570,35.448185,,0,8,8,96,48008,1343,2245,7663292,16,139,20,1,24007,1,100,1,1894567,1,2519503,1,107279,1,3106825,1,10991,1,330283,1,7184,4,479503,4,70557,4,735792,4,1456444,8,2189991,96,0,0,3066,1,18586,1,4068,1,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1
20,8676400,4829,9570,35.391983,,0,14,12,144,44233,1603,3708,8632167,16,211,80,1,34978,1,30,1,2134413,1,2529853,1,119012,1,3801507,1,12294,1,424185,1,8216,4,574738,4,75617,4,890944,4,1777809,8,2638905,144,26141,24,3647,1,41932,1,2815,1,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1
21,8444800,4715,9570,35.333054,,0,13,11,132,43773,1232,3627,8401027,16,199,40,1,24428,1,20,1,1900398,1,2757526,1,108772,1,3598131,1,11713,1,362946,1,7515,4,535732,4,70878,4,861887,4,1717211,8,2556515,132,18957,24,3377,1,34778,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1
