step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,9224700,4495,9570,35.998295,,0,9,9,108,81022,6944,4138,9143678,18,152,1052,1,130197,1,271,1,2399799,1,2529776,1,432043,1,147131,1,3489551,1,13857,1,678750,1,9168,4,297407,4,68054,4,807906,4,1593156,8,2396923,108,0,0,3607,1,21913,1,2645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8251200,4196,9570,35.993866,,0,8,8,96,60765,1473,4159,8190435,18,140,170,1,47404,1,100,1,2298890,1,2360282,1,431973,1,92453,1,2946038,1,13126,1,362406,1,7174,4,270224,4,64858,4,747436,4,1467608,8,2210886,96,0,0,3146,1,19148,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,7784700,4142,9570,35.986713,,0,8,8,96,53863,1403,6183,7730837,18,140,160,1,24047,1,70,1,1957947,1,2339931,1,431973,1,87753,1,2875729,1,13226,1,306776,1,7314,4,268510,4,65299,4,740613,4,1459653,8,2194082,96,0,0,3086,1,20490,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,7817900,4111,9570,35.976837,,0,8,8,96,66612,1513,5731,7751288,18,140,150,1,23727,1,70,1,1957105,1,2321585,1,431863,1,88485,1,2915027,1,13276,1,335362,1,7886,4,267118,4,65329,4,738148,4,1461917,8,2194334,96,0,0,3537,1,30781,1,3437,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,8410800,4100,9570,35.964233,,0,8,8,96,51015,2926,7615,8359785,18,140,411,1,30971,1,100,1,2220936,1,2337907,1,431963,1,86451,1,3237719,1,13326,1,300934,1,9369,4,321485,4,74808,4,828877,4,1661396,8,2482658,96,0,0,4058,1,31152,1,2715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,7796500,4087,9570,35.948902,,0,8,8,96,54270,1262,2365,7742230,18,140,150,1,24058,1,70,1,1950422,1,2340282,1,432063,1,86922,1,2895067,1,13196,1,341655,1,7555,4,264402,4,65670,4,734200,4,1447519,8,2179354,96,0,0,3537,1,26653,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,7795800,4079,9570,35.93085,,0,8,8,96,63139,1423,2395,7732661,18,140,150,1,23967,1,80,1,1959640,1,2350322,1,431943,1,90529,1,2862734,1,13296,1,317166,1,7705,4,265204,4,67113,4,733428,4,1444663,8,2175696,96,0,0,3327,1,20160,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,7764900,4073,9570,35.910072,,0,8,8,96,55174,1313,2245,7709726,18,140,140,1,24949,1,70,1,1956885,1,2352346,1,431833,1,86641,1,2843736,1,13126,1,293209,1,7355,4,265063,4,65640,4,734891,4,1451597,8,2184243,96,0,0,3106,1,19008,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,7731500,4066,9570,35.88657,,0,8,8,96,53637,1252,2235,7677863,18,140,140,1,23937,1,70,1,1956975,1,2332877,1,431863,1,85539,1,2833295,1,13166,1,288901,1,7465,4,268490,4,65489,4,731074,4,1445895,8,2174735,96,0,0,2966,1,19198,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,7932100,4061,9570,35.86034,,0,8,8,96,70404,1383,2265,7861696,18,140,150,1,23867,1,70,1,1957075,1,2323158,1,431923,1,111420,1,3000846,1,13186,1,390571,1,8447,4,294472,4,66592,4,768618,4,1437319,8,2203672,96,0,0,3407,1,27484,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
