step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,19344700,4495,9570,35.998295,,0,9,9,108,80334,5811,5952,19264366,18,159,541,1,120463,1,150,1,673846,1,2479495,1,896237,1,138739,1,14942991,1,11903,1,1350527,1,9418,4,671962,4,65347,4,4216883,4,8214821,8,12425752,108,0,0,6362,1,399063,1,2795,1,0,0,0,0,0,0,0,0,0,0,0,0,32583,1,68873,1,526150,1,43945,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,1241,1,0,1,0,1
1,16554800,4196,9570,35.993866,,0,8,8,96,59210,1132,3056,16495590,18,147,160,1,33826,1,60,1,473728,1,2388489,1,895966,1,91297,1,12601533,1,10530,1,756606,1,7645,4,573952,4,65036,4,3672488,4,7211126,8,10880557,96,0,0,5431,1,305642,1,2475,1,0,0,0,0,0,0,0,0,0,0,0,0,5541,1,22844,1,424252,1,20770,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,1241,1,0,1,0,1
2,16294700,4142,9570,35.986713,,0,8,8,96,161983,1252,4889,16132717,18,147,160,1,22654,1,50,1,479700,1,2327862,1,896037,1,88341,1,12302383,1,15530,1,761967,1,7485,4,565115,4,63253,4,3611560,4,7141240,8,10747910,96,0,0,5220,1,142857,1,2435,1,0,0,0,0,0,0,0,0,0,0,0,0,19999,1,21652,1,411578,1,26171,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,1240,1,1,1,1,1
3,16181200,4111,9570,35.976837,,0,8,8,96,88541,1202,5701,16092659,18,147,90,1,32363,1,170,1,590735,1,2441141,1,896087,1,85746,1,12026378,1,19949,1,724885,1,7474,4,558332,4,62411,4,3550892,4,6982342,8,10527533,96,0,0,5340,1,130904,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,10300,1,27714,1,520990,1,31130,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,1240,1,1,1,0,1
4,16350000,4100,9570,35.964233,,0,8,8,96,91299,4529,3988,16258701,18,147,160,1,37703,1,140,1,584703,1,2452653,1,896057,1,85876,1,12190126,1,11282,1,740896,1,8336,4,562450,4,63152,4,3591290,4,7070734,8,10658036,96,0,0,5471,1,140703,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,9929,1,27493,1,516040,1,30810,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,1240,1,1,1,0,1
5,16133100,4087,9570,35.948902,,0,8,8,96,112220,1152,6192,16020880,18,147,240,1,30519,1,160,1,585455,1,2288014,1,895976,1,86247,1,12123356,1,10911,1,725556,1,7545,4,567340,4,63493,4,3590829,4,7034143,8,10618780,96,0,0,5170,1,125684,1,2445,1,0,0,0,0,0,0,0,0,0,0,0,0,6232,1,30810,1,511992,1,35609,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,1240,1,1,1,0,1
6,16110000,4079,9570,35.93085,,0,8,8,96,201598,1483,3036,15908402,18,147,150,1,22644,1,50,1,474590,1,2328162,1,896067,1,118680,1,12052218,1,15841,1,765584,1,18716,4,559134,4,62932,4,3548056,4,6949158,8,10494179,96,0,0,5320,1,139250,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,4859,1,20590,1,413431,1,35359,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,1240,1,1,1,0,1
7,16629900,4073,9570,35.910072,,0,8,8,96,677623,1152,5360,15952277,18,147,150,1,29738,1,60,1,598330,1,2327952,1,896097,1,100675,1,11981241,1,18035,1,727079,1,7394,4,563091,4,62681,4,3540672,4,6936173,8,10471485,96,0,0,5210,1,135162,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,6152,1,30669,1,527913,1,31902,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
8,16514000,4066,9570,35.88657,,0,8,8,96,150256,2134,5631,16363744,18,147,271,1,27203,1,100,1,587048,1,2387728,1,896097,1,88822,1,12361718,1,14759,1,763440,1,7985,4,569584,4,64004,4,3606329,4,7132944,8,10733642,96,0,0,5491,1,206951,1,2856,1,0,0,0,0,0,0,0,0,0,0,0,0,6352,1,30559,1,515950,1,33765,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,1240,1,1,1,0,1
9,17182800,4061,9570,35.86034,,0,8,8,96,846018,1633,3066,16336782,18,147,240,1,28786,1,200,1,589723,1,2575962,1,896287,1,91467,1,12138686,1,15430,1,795462,1,7334,4,559504,4,62281,4,3547345,4,7012541,8,10556820,96,0,0,5360,1,144620,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,7304,1,30118,1,520068,1,31581,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,1240,1,1,1,0,1
