step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
12,7945100,4056,9570,35.765305,,0,8,8,96,35482,1143,2264,7909618,16,139,140,1,24388,1,100,1,1891686,1,2425256,1,95438,1,3461758,1,10851,1,330090,1,7725,4,481478,4,65689,4,857509,4,1692022,8,2547267,96,0,0,2986,1,20490,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1
13,8433300,4055,9570,35.728176,,0,8,8,96,67454,1864,2425,8365846,16,139,100,1,26893,1,160,1,2188460,1,2447731,1,98163,1,3592185,1,12154,1,425989,1,7525,4,481007,4,65760,4,852860,4,1695479,8,2545914,96,0,0,4018,1,53656,1,4028,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1
14,7954300,4060,9570,35.688324,,0,8,8,96,40474,1082,2325,7913826,16,139,120,1,25079,1,100,1,1896154,1,2412231,1,86731,1,3482479,1,10932,1,342665,1,7825,4,477961,4,65469,4,854453,4,1691842,8,2543970,96,0,0,3256,1,34849,1,3076,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1
15,8578800,4057,9570,35.64575,,0,8,8,96,46997,1363,2205,8531803,16,139,190,1,36011,1,100,1,2494703,1,2413503,1,85739,1,3490575,1,10982,1,339739,1,7926,4,482661,4,70048,4,855685,4,1690730,8,2544210,96,0,0,3016,1,36813,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1
16,8100400,4055,9570,35.600445,,0,8,8,96,45807,1222,2195,8054593,16,139,30,1,25190,1,120,1,1891585,1,2428312,1,89596,1,3608968,1,10791,1,421721,1,8707,4,539663,4,67603,4,855916,4,1689127,8,2542847,96,0,0,2906,1,19518,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1
17,7957300,4051,9570,35.552414,,0,8,8,96,34496,1162,2214,7922804,16,139,50,1,24218,1,30,1,1895824,1,2403443,1,108454,1,3479733,1,11052,1,341633,1,7996,4,507009,4,67403,4,852068,4,1677885,8,2527738,96,0,0,2926,1,19058,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1
18,8186500,4049,9570,35.501663,,0,8,8,96,49865,1303,2185,8136635,16,139,50,1,24618,1,501,1,1901204,1,2708224,1,83324,1,3407531,1,11182,1,300702,1,7365,4,477060,4,65218,4,847439,4,1678586,8,2523840,96,0,0,2996,1,24208,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1
19,8193500,4050,9570,35.448185,,0,8,8,96,40814,1262,2204,8152686,16,139,50,1,34879,1,130,1,2197458,1,2372212,1,85037,1,3452059,1,10861,1,324349,1,7545,4,477691,4,66271,4,854222,4,1688435,8,2540453,96,0,0,3006,1,26673,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1
20,8759900,4829,9570,35.391983,,0,14,12,144,39195,941,3137,8720705,16,211,50,1,24418,1,110,1,1893439,1,2513701,1,120878,1,4157207,1,10901,1,407052,1,7425,4,576295,4,65669,4,1026482,4,2029317,8,3022462,144,30199,24,3958,1,37464,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1
21,8940000,4715,9570,35.333054,,0,13,11,132,44300,1243,3106,8895700,16,199,50,1,24608,1,160,1,1898479,1,2797550,1,113323,1,4050427,1,11102,1,452251,1,7896,4,538841,4,67613,4,990230,4,1955792,8,2921925,132,20991,24,3457,1,30490,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1
