step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,20670400,4495,9570,35.998295,,0,9,9,108,104992,5851,5140,20565408,18,155,721,1,149299,1,541,1,2073808,1,3087202,1,859576,1,226469,1,14152682,1,15109,1,692722,1,9849,4,561688,4,66870,4,4314039,4,8426648,8,12735546,108,0,0,8166,1,58804,1,8046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,18303200,4300,9570,35.993866,,0,9,8,96,85351,10510,3447,18217849,18,155,431,1,47522,1,190,1,2256552,1,1376517,1,859596,1,261837,1,13400455,1,14749,1,967344,1,23726,4,704054,4,70446,4,3905898,4,7657928,8,11538637,96,21742,12,3176,1,54015,1,3357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,17198100,4339,9570,35.986713,,0,9,8,96,71135,3687,10601,17126965,18,155,1072,1,49997,1,691,1,2109477,1,1193533,1,859666,1,149850,1,12749223,1,13456,1,646372,1,13005,4,503656,4,66329,4,3855070,4,7600487,8,11415889,96,29066,12,3998,1,53474,1,3146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,16471900,4335,9570,35.976837,,0,9,8,96,80099,2004,7134,16391801,18,155,281,1,27924,1,70,1,1955860,1,676000,1,859515,1,121475,1,12737099,1,13576,1,540016,1,7785,4,560636,4,66349,4,3890799,4,7607881,8,11467219,96,24327,12,4018,1,54375,1,3236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,16456500,4329,9570,35.964233,,0,9,8,96,73687,9769,2375,16382813,18,155,391,1,29046,1,130,1,1973053,1,673044,1,859455,1,120073,1,12714305,1,13316,1,524837,1,8116,4,545657,4,65948,4,3864899,4,7607981,8,11445637,96,24868,12,4028,1,75867,1,7204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,17494800,4324,9570,35.948902,,0,9,8,96,51372,3116,7605,17443428,18,155,150,1,30419,1,160,1,1968003,1,1216828,1,859545,1,196942,1,13158015,1,13366,1,893782,1,8807,4,557640,4,76478,4,3929524,4,7630936,8,11530080,96,22774,12,3286,1,51500,1,2946,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,16670300,4326,9570,35.93085,,0,9,8,96,61809,2976,2284,16608491,18,155,140,1,29347,1,50,1,1968614,1,787346,1,859946,1,121465,1,12827976,1,13606,1,666972,1,8376,4,534746,4,66860,4,3874908,4,7602931,8,11450476,96,25079,12,3266,1,63373,1,3567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,16423800,4319,9570,35.910072,,0,9,8,96,42640,1313,2426,16381160,18,155,70,1,30219,1,140,1,2022158,1,672894,1,859355,1,115003,1,12668406,1,12915,1,511581,1,7053,4,503305,4,66339,4,3883415,4,7652998,8,11512175,96,21812,12,3647,1,35679,1,3076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,16430600,4316,9570,35.88657,,0,9,8,96,60812,2555,2686,16369788,18,155,341,1,28916,1,60,1,1922625,1,672994,1,859586,1,96407,1,12759934,1,28926,1,496081,1,7975,4,531069,4,70366,4,3878705,4,7598343,8,11452509,96,21852,12,5992,1,163597,1,5250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,16541400,4312,9570,35.86034,,0,9,8,96,59384,1693,2956,16482016,18,155,220,1,39597,1,1052,1,2135237,1,682893,1,859415,1,97639,1,12652716,1,13246,1,515709,1,7945,4,513936,4,67461,4,3871782,4,7615255,8,11469543,96,14538,12,4038,1,51450,1,3447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
10,16237500,4307,9570,35.831387,,0,9,8,96,43252,1523,2305,16194248,18,155,471,1,30249,1,130,1,1928717,1,699465,1,859385,1,100926,1,12559646,1,15260,1,490621,1,7384,4,500149,4,65908,4,3865370,4,7565038,8,11416791,96,11312,12,3006,1,57942,1,2705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16300,1,14,1,9570,1,4307,1,16314,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
11,16646800,4307,9570,35.79971,,0,9,8,96,56164,1934,2275,16590636,18,155,20,1,29577,1,70,1,1925471,1,698644,1,859335,1,98551,1,12964821,1,14147,1,798688,1,12544,4,506471,4,69895,4,3868606,4,7611137,8,11469192,96,8276,12,5240,1,85105,1,5200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16310,1,10,1,9570,1,4307,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
12,16753200,4306,9570,35.765305,,0,9,8,96,70656,2856,2345,16682544,18,155,291,1,55618,1,481,1,1935210,1,870066,1,859285,1,107428,1,12834158,1,20009,1,558342,1,8396,4,524947,4,67791,4,3880128,4,7597531,8,11463682,96,11633,12,8166,1,180860,1,5140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,14,1,9570,1,4306,1,16330,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
13,17676800,4306,9570,35.728176,,0,9,8,96,81056,3487,3136,17595744,18,155,431,1,37433,1,321,1,2155236,1,1160709,1,859515,1,157285,1,13210356,1,14458,1,873643,1,17474,4,565045,4,79845,4,3879637,4,7706773,8,11573454,96,9819,12,4799,1,76618,1,3036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16323,1,12,1,9570,1,4306,1,16335,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
