step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,9477900,4495,9570,35.998295,,0,9,9,108,91385,6533,5060,9386515,18,152,922,1,127867,1,110,1,2229495,1,2509586,1,440491,1,138558,1,3926592,1,12895,1,633954,1,10039,4,537959,4,66969,4,889808,4,1752314,8,2637062,108,0,0,3136,1,23195,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8793200,4196,9570,35.993866,,0,8,8,96,87149,2014,4409,8706051,18,140,230,1,43754,1,70,1,2171824,1,2442887,1,440190,1,90705,1,3492213,1,24177,1,465288,1,7865,4,484966,4,65246,4,811046,4,1616121,8,2422758,96,0,0,9218,1,27062,1,3387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,8855100,4142,9570,35.986713,,0,8,8,96,96257,1503,7054,8758843,18,140,441,1,43895,1,230,1,2194027,1,2494247,1,440250,1,100514,1,3472886,1,12354,1,423127,1,9168,4,489134,4,67550,4,818300,4,1613335,8,2424581,96,0,0,4128,1,43163,1,3477,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,9688700,4111,9570,35.976837,,0,8,8,96,97435,1723,6462,9591265,18,140,331,1,25209,1,220,1,1955416,1,2706125,1,440235,1,168876,1,4283060,1,11793,1,760078,1,11883,4,592554,4,79744,4,953020,4,1855793,8,2802351,96,0,0,3928,1,21441,1,2896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,8359200,4100,9570,35.964233,,0,8,8,96,72068,1303,6833,8287132,18,140,261,1,25680,1,140,1,1943894,1,2451474,1,440270,1,86367,1,3327535,1,11512,1,344435,1,7735,4,475819,4,65266,4,807189,4,1595872,8,2396227,96,0,0,2755,1,24477,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,8509100,4087,9570,35.948902,,0,8,8,96,63442,1623,3136,8445658,18,140,240,1,24597,1,60,1,1959353,1,2459399,1,440310,1,87329,1,3462095,1,12274,1,409571,1,8025,4,477272,4,66258,4,804694,4,1633234,8,2434791,96,0,0,3036,1,55267,1,3116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,8476100,4079,9570,35.93085,,0,8,8,96,94005,1263,2295,8382095,18,140,681,1,26080,1,281,1,2049818,1,2422518,1,440230,1,90364,1,3341101,1,11021,1,329937,1,7605,4,477933,4,65406,4,807609,4,1610750,8,2416065,96,0,0,3106,1,34817,1,2675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,8642400,4073,9570,35.910072,,0,8,8,96,89465,1333,2054,8552935,18,140,240,1,24567,1,30,1,1960025,1,2381879,1,440310,1,132756,1,3601544,1,11582,1,585651,1,8817,4,518932,4,67801,4,797590,4,1594890,8,2390425,96,0,0,2856,1,20530,1,3146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,8663300,4066,9570,35.88657,,0,8,8,96,59807,1673,2175,8603493,18,140,220,1,31741,1,150,1,2298188,1,2386488,1,440320,1,95324,1,3339909,1,11152,1,375365,1,7304,4,477091,4,65136,4,798552,4,1584490,8,2380867,96,0,0,2795,1,24878,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,8196100,4061,9570,35.86034,,0,8,8,96,47075,1002,1944,8149025,18,140,130,1,24227,1,70,1,1960456,1,2308898,1,440120,1,83441,1,3320101,1,11582,1,324657,1,7815,4,474727,4,65356,4,798021,4,1605711,8,2401787,96,0,0,2876,1,36320,1,3617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
