step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
11,8105300,4054,9570,35.79971,,0,8,8,96,55786,1153,2396,8049514,18,140,50,1,24059,1,211,1,1899111,1,2618436,1,428612,1,85430,1,2980755,1,12852,1,261331,1,6987,4,469663,4,67165,4,720999,4,1430641,8,2149244,96,0,0,3037,1,17262,1,2516,1,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1
12,7937000,4056,9570,35.765305,,0,8,8,96,37273,982,2516,7899727,18,140,150,1,35517,1,70,1,2084997,1,2259826,1,428592,1,93078,1,2984975,1,12521,1,267005,1,7067,4,470625,4,67014,4,722012,4,1427974,8,2147470,96,0,0,2887,1,16992,1,2416,1,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1
13,7705500,4055,9570,35.728176,,0,8,8,96,35637,982,2145,7669863,18,140,50,1,23247,1,20,1,1829901,1,2324254,1,428542,1,83094,1,2968204,1,12551,1,276348,1,7087,4,470595,4,66654,4,715065,4,1409258,8,2122178,96,0,0,2837,1,16912,1,2466,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1
14,7599700,4060,9570,35.688324,,0,8,8,96,33081,842,2006,7566619,18,140,10,1,23087,1,70,1,1829700,1,2249791,1,428502,1,83475,1,2939484,1,12501,1,250435,1,7107,4,466665,4,66393,4,713080,4,1412807,8,2123882,96,0,0,2787,1,16942,1,2426,1,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1
15,7618400,4057,9570,35.64575,,0,8,8,96,30910,882,2116,7587490,18,140,120,1,23147,1,80,1,1834903,1,2286311,1,428552,1,82643,1,2919284,1,12451,1,249442,1,6917,4,463046,4,65992,4,711336,4,1399464,8,2108684,96,0,0,2807,1,16962,1,2436,1,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1
16,7637700,4055,9570,35.600445,,0,8,8,96,39002,872,2075,7598698,18,140,70,1,23107,1,40,1,1830342,1,2265670,1,428451,1,82362,1,2955844,1,12811,1,243317,1,7047,4,467978,4,66884,4,729661,4,1417428,8,2145014,96,0,0,2807,1,17252,1,2596,1,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1
17,7900600,4051,9570,35.552414,,0,8,8,96,59938,1273,2446,7840662,18,140,10,1,23708,1,40,1,1859965,1,2252197,1,428782,1,115243,1,3147584,1,13132,1,308617,1,7619,4,503516,4,71686,4,766130,4,1465857,8,2229541,96,0,0,3068,1,17302,1,2516,1,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1
18,7940200,4049,9570,35.501663,,0,8,8,96,42148,1103,2225,7898052,18,140,100,1,29753,1,90,1,1999347,1,2336504,1,428582,1,87495,1,3003431,1,12751,1,249061,1,7037,4,483747,4,67656,4,731345,4,1440666,8,2169785,96,0,0,3078,1,17252,1,2486,1,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1
19,7778000,4050,9570,35.448185,,0,8,8,96,36061,842,2376,7741939,18,140,30,1,23628,1,110,1,1874921,1,2312084,1,428592,1,86432,1,3003350,1,12791,1,248680,1,7007,4,475487,4,68087,4,729961,4,1449888,8,2177474,96,0,0,2927,1,17924,1,2546,1,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1
20,8495500,4829,9570,35.391983,,0,14,12,144,36320,1033,3298,8459180,18,212,160,1,23808,1,90,1,1875442,1,2427978,1,428672,1,122811,1,3567746,1,12471,1,330240,1,7248,4,570400,4,67035,4,863710,4,1700904,8,2536124,144,25192,24,3408,1,21282,1,2486,1,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1
21,8526700,4715,9570,35.333054,,0,13,11,132,40284,982,2967,8486416,18,200,20,1,23087,1,50,1,1828477,1,2667266,1,428602,1,109449,1,3416976,1,12491,1,317569,1,7097,4,530803,4,66313,4,831080,4,1635744,8,2446684,132,17172,24,3318,1,21593,1,2476,1,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1
22,8312100,4565,9570,35.2714,,0,13,10,120,32742,902,2828,8279358,18,200,60,1,23117,1,20,1,1830081,1,2611198,1,428642,1,103384,1,3270336,1,12521,1,293611,1,6967,4,502744,4,66082,4,797116,4,1576850,8,2334940,120,36199,36,3198,1,20450,1,2416,1,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1
23,8596400,4496,9570,35.207024,,0,13,10,120,41054,1684,3870,8555346,18,200,10,1,23087,1,80,1,1860827,1,2671867,1,428532,1,106421,1,3450448,1,14075,1,374218,1,12982,4,519545,4,68879,4,817386,4,1607705,8,2383048,120,38173,36,3639,1,41742,1,2667,1,0,0,0,0,0,0,0,0,0,0,0,0,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1
24,8672000,4419,9570,35.13992,,0,12,10,120,68667,1043,2757,8603333,18,188,10,1,26385,1,40,1,1881598,1,2799410,1,428622,1,103444,1,3346914,1,16912,1,357397,1,7127,4,516457,4,67756,4,784114,4,1566304,8,2334428,120,13232,24,5894,1,37763,1,3058,1,0,0,0,0,0,0,0,0,0,0,0,0,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1
25,8308300,4390,9570,35.07009,,0,12,9,108,34826,962,2727,8273474,18,188,10,1,26194,1,40,1,1865508,1,2656078,1,428522,1,100366,1,3184184,1,12571,1,301620,1,7087,4,492829,4,67926,4,771203,4,1516512,8,2238534,108,46454,36,3058,1,20530,1,2456,1,0,0,0,0,0,0,0,0,0,0,0,0,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1
26,8139600,4353,9570,34.997536,,0,12,9,108,34910,862,2567,8104690,18,188,40,1,24630,1,40,1,1829700,1,2583410,1,428612,1,100426,1,3121500,1,16330,1,275075,1,6897,4,485652,4,65731,4,760035,4,1499610,8,2219386,108,37693,36,3017,1,22194,1,2426,1,0,0,0,0,0,0,0,0,0,0,0,0,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1
27,8088800,4336,9570,34.92226,,0,12,9,108,34454,922,2667,8054346,18,188,50,1,23738,1,30,1,1830733,1,2573095,1,428562,1,96788,1,3088931,1,12420,1,265933,1,6827,4,481923,4,65852,4,754111,4,1489125,8,2207267,108,33302,36,2987,1,18786,1,2466,1,0,0,0,0,0,0,0,0,0,0,0,0,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,0,1
28,8770100,4982,9570,34.844257,,0,14,11,132,35625,992,3158,8734475,18,212,40,1,23347,1,40,1,1857609,1,2633092,1,428542,1,120857,1,3658147,1,12801,1,332556,1,7188,4,590990,4,66112,4,881614,4,1745534,8,2565756,132,58233,36,3629,1,27036,1,2496,1,0,0,0,0,0,0,0,0,0,0,0,0,18465,1,392,1,9570,1,4982,1,18857,1,9570,1,0,1
29,8839800,4783,9570,34.763527,,0,14,11,132,38611,942,3960,8801189,18,212,10,1,24510,1,20,1,1874771,1,2778769,1,428552,1,126039,1,3555706,1,12811,1,325298,1,7198,4,552767,4,67766,4,863840,4,1707891,8,2543321,132,24450,36,3348,1,24099,1,2556,1,0,0,0,0,0,0,0,0,0,0,0,0,17239,1,139,1,9570,1,4783,1,17378,1,9570,1,0,1
30,8753200,4670,9570,34.680073,,0,13,11,132,42654,892,3308,8710546,18,200,50,1,23959,1,20,1,1886580,1,2773356,1,428522,1,114040,1,3466738,1,17282,1,305991,1,7218,4,525680,4,67716,4,842498,4,1684875,8,2502161,132,21904,24,3408,1,23287,1,5173,1,0,0,0,0,0,0,0,0,0,0,0,0,16931,1,131,1,9570,1,4670,1,17062,1,9570,1,0,1
31,8681800,4639,9570,34.593895,,0,13,11,132,39982,942,2888,8641818,18,200,100,1,25934,1,40,1,1890098,1,2767411,1,428532,1,114521,1,3402680,1,12501,1,299194,1,7348,4,520006,4,67686,4,835270,4,1645177,8,2457751,132,19809,24,3208,1,21352,1,2496,1,0,0,0,0,0,0,0,0,0,0,0,0,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,0,1
32,8450000,4573,9570,34.504993,,0,13,11,132,34969,922,3529,8415031,18,200,40,1,23267,1,70,1,1870591,1,2654274,1,428612,1,108386,1,3316950,1,12842,1,284378,1,7077,4,509400,4,66212,4,800284,4,1621028,8,2396601,132,21182,24,3318,1,21814,1,2516,1,0,0,0,0,0,0,0,0,0,0,0,0,16368,1,130,1,9570,1,4573,1,16498,1,9570,1,0,1
33,8366800,4491,9570,34.413364,,0,13,11,132,36116,882,2948,8330684,18,200,30,1,23808,1,30,1,1862621,1,2644881,1,428512,1,110551,1,3247760,1,12491,1,279456,1,7168,4,494413,4,66904,4,795021,4,1577451,8,2351631,132,17894,24,3168,1,20831,1,2466,1,0,0,0,0,0,0,0,0,0,0,0,0,16106,1,116,1,9570,1,4491,1,16222,1,9570,1,0,1
34,8895100,5031,9570,34.31901,,0,14,11,132,36991,962,3359,8858109,18,212,50,1,23347,1,90,1,1828187,1,2745949,1,428562,1,134139,1,3685013,1,12771,1,325118,1,7388,4,565117,4,67014,4,897182,4,1792479,8,2631337,132,54965,36,3609,1,23558,1,2586,1,0,0,0,0,0,0,0,0,0,0,0,0,17973,1,388,1,9570,1,5031,1,18361,1,9570,1,0,1
35,8778400,4806,9570,34.221935,,0,14,11,132,34722,932,3109,8743678,18,212,10,1,23518,1,40,1,1834281,1,2874083,1,428562,1,122451,1,3448292,1,12441,1,313128,1,7158,4,512418,4,65932,4,846437,4,1673257,8,2491524,132,25062,36,3378,1,23107,1,2546,1,0,0,0,0,0,0,0,0,0,0,0,0,16833,1,118,1,9570,1,4806,1,16951,1,9570,1,0,1
36,8947700,4646,9570,34.12213,,0,14,11,132,53593,1454,3740,8894107,18,212,60,1,23107,1,80,1,1865558,1,2816933,1,428542,1,149507,1,3597468,1,12852,1,394628,1,7919,4,538221,4,72398,4,892079,4,1659382,8,2522781,132,24941,36,3759,1,24951,1,2677,1,0,0,0,0,0,0,0,0,0,0,0,0,16171,1,126,1,9570,1,4646,1,16297,1,9570,1,0,1
37,8775200,4535,9570,34.019604,,0,13,10,120,35351,992,2898,8739849,18,200,130,1,29793,1,50,1,2086490,1,2777877,1,428532,1,115594,1,3288921,1,12461,1,315735,1,7288,4,482384,4,66513,4,799502,4,1588548,8,2333446,120,51707,36,3178,1,22285,1,2496,1,0,0,0,0,0,0,0,0,0,0,0,0,15408,1,325,1,9570,1,4535,1,15733,1,9570,1,0,1
38,8525200,4502,9570,33.91435,,0,13,11,132,41220,882,2987,8483980,18,200,60,1,23257,1,40,1,1835464,1,2824572,1,428592,1,115534,1,3243941,1,12521,1,294242,1,7218,4,477752,4,66413,4,797146,4,1573301,8,2350218,132,17242,24,3078,1,21453,1,2456,1,0,0,0,0,0,0,0,0,0,0,0,0,15473,1,104,1,9570,1,4502,1,15577,1,9570,1,0,1
39,8990100,4984,9570,33.806374,,0,14,12,144,34282,1393,3128,8955818,18,212,50,1,23277,1,30,1,1829921,1,2906984,1,428552,1,131793,1,3622370,1,12842,1,321198,1,7248,4,547614,4,66684,4,893413,4,1752260,8,2621382,144,21162,24,3599,1,24961,1,4000,1,0,0,0,0,0,0,0,0,0,0,0,0,17363,1,128,1,9570,1,4984,1,17491,1,9570,1,0,1
40,9196300,5009,9570,33.69567,,0,15,11,132,34727,912,3349,9161573,18,224,110,1,23869,1,120,1,1880314,1,3063468,1,428632,1,131473,1,3621046,1,12541,1,338421,1,7248,4,535083,4,81340,4,885423,4,1741664,8,2577546,132,46193,48,3418,1,24971,1,2566,1,0,0,0,0,0,0,0,0,0,0,0,0,17089,1,251,1,9570,1,5009,1,17340,1,9570,1,0,1
41,8931000,4852,9570,33.58224,,0,14,11,132,36653,952,3260,8894347,18,212,30,1,23488,1,80,1,1864385,1,2962921,1,428472,1,131222,1,3471259,1,12491,1,323795,1,7328,4,510362,4,65952,4,851329,4,1681045,8,2495603,132,33512,36,3388,1,24600,1,2506,1,0,0,0,0,0,0,0,0,0,0,0,0,16401,1,190,1,9570,1,4852,1,16591,1,9570,1,0,1
42,8787800,4753,9570,33.466087,,0,14,11,132,35702,952,3108,8752098,18,212,20,1,23227,1,40,1,1877818,1,2917199,1,428632,1,123373,1,3369289,1,12501,1,303344,1,7188,4,491346,4,65842,4,829616,4,1641168,8,2438383,132,29292,36,3248,1,24079,1,2506,1,0,0,0,0,0,0,0,0,0,0,0,0,15808,1,154,1,9570,1,4753,1,15962,1,9570,1,0,1
43,8822500,4728,9570,33.34721,,0,14,11,132,39857,1644,3840,8782643,18,212,40,1,23167,1,30,1,1859734,1,2902022,1,428562,1,124526,1,3431712,1,12852,1,297871,1,15157,4,516337,4,66393,4,835491,4,1668204,8,2464217,132,35637,36,3499,1,24490,1,2626,1,0,0,0,0,0,0,0,0,0,0,0,0,15589,1,185,1,9570,1,4728,1,15774,1,9570,1,0,1
44,9123800,4996,9570,33.22561,,0,14,11,132,34634,952,3018,9089166,18,212,40,1,23959,1,110,1,1874470,1,3008824,1,428482,1,142770,1,3597990,1,12521,1,322341,1,6917,4,527214,4,66794,4,894996,4,1746727,8,2596391,132,42314,36,3519,1,25723,1,2807,1,0,0,0,0,0,0,0,0,0,0,0,0,16516,1,272,1,9570,1,4996,1,16788,1,9570,1,0,1
45,9318100,5112,9570,33.10128,,0,14,12,144,33916,982,3900,9284184,18,212,50,1,23157,1,90,1,1833590,1,3080440,1,428502,1,146199,1,3759616,1,12541,1,357257,1,6897,4,543263,4,69781,4,940378,4,1808157,8,2722070,144,22565,24,3589,1,26796,1,2516,1,0,0,0,0,0,0,0,0,0,0,0,0,17219,1,129,1,9570,1,5112,1,17348,1,9570,1,0,1
46,9053600,4923,9570,32.974224,,0,14,11,132,33454,912,3229,9020146,18,212,20,1,23307,1,40,1,1853579,1,3030377,1,428602,1,137417,1,3533973,1,12831,1,321048,1,6977,4,505881,4,66583,4,881273,4,1719279,8,2546539,132,50785,36,3549,1,25934,1,2536,1,0,0,0,0,0,0,0,0,0,0,0,0,15971,1,307,1,9570,1,4923,1,16278,1,9570,1,0,1
