step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,7210700,4495,9570,35.998295,,0,9,9,108,85542,7674,3718,7125158,18,161,511,1,118378,1,230,1,703756,1,951052,1,250954,1,166060,1,4919588,1,14628,1,1377213,1,15380,4,650624,4,98911,4,774172,4,1474121,8,2244575,108,0,0,6182,1,505113,1,10200,1,0,0,0,0,0,0,676994,1,137816,1,21031,1,33995,1,68632,1,546683,1,52000,1,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,48,1,1241,1,0,1,0,1
1,5362200,4196,9570,35.993866,,0,8,8,96,45416,2114,2475,5316784,18,150,170,1,35448,1,130,1,527035,1,450748,1,250813,1,96396,1,3945371,1,10671,1,1037158,1,12424,4,577793,4,77199,4,672446,4,1259867,8,1929838,96,0,0,5571,1,295219,1,5581,1,0,0,0,0,0,0,422614,1,20359,1,4489,1,8747,1,25549,1,464565,1,27683,1,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,48,1,1241,1,0,1,0,1
2,4982900,4142,9570,35.986713,,0,8,8,96,39436,2385,2576,4943464,18,150,100,1,25199,1,261,1,480666,1,358150,1,250663,1,89813,1,3728173,1,10440,1,852913,1,12264,4,568726,4,77499,4,667195,4,1240941,8,1905561,96,0,0,7054,1,295950,1,3246,1,0,0,0,0,0,0,332120,1,18957,1,4208,1,18395,1,23996,1,410791,1,27222,1,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,48,1,1240,1,1,1,1,1
3,4722400,4111,9570,35.976837,,0,8,8,96,38405,1533,4108,4683995,18,150,60,1,25229,1,70,1,461569,1,337440,1,250683,1,93931,1,3504231,1,10781,1,806764,1,12684,4,570750,4,77469,4,617269,4,1185905,8,1799066,96,0,0,7434,1,217158,1,7264,1,0,0,0,0,0,0,313324,1,17484,1,3857,1,4980,1,23896,1,407355,1,25118,1,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,48,1,1240,1,1,1,0,1
4,4804500,4100,9570,35.964233,,0,8,8,96,37526,1663,3948,4766974,18,150,100,1,24778,1,100,1,458433,1,351357,1,252186,1,87138,1,3582362,1,10520,1,834167,1,12334,4,569607,4,77309,4,621227,4,1188049,8,1805328,96,0,0,5310,1,269660,1,3036,1,0,0,0,0,0,0,326148,1,18516,1,3867,1,4849,1,23415,1,404680,1,25239,1,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,48,1,1240,1,1,1,0,1
5,4826600,4087,9570,35.948902,,0,8,8,96,37583,1353,4088,4789017,18,150,80,1,25309,1,140,1,456610,1,354483,1,250653,1,89993,1,3601128,1,10620,1,787567,1,12584,4,567523,4,77620,4,651605,4,1274155,8,1921672,96,0,0,5340,1,214072,1,9308,1,0,0,0,0,0,0,329996,1,17804,1,3817,1,4819,1,23415,1,402946,1,25179,1,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,48,1,1240,1,1,1,0,1
6,4870500,4079,9570,35.93085,,0,8,8,96,38430,1984,5461,4832070,18,150,180,1,24748,1,60,1,457031,1,337420,1,250643,1,88571,1,3662887,1,10530,1,812556,1,12183,4,569848,4,76858,4,646636,4,1282070,8,1923245,96,0,0,5430,1,252196,1,3126,1,0,0,0,0,0,0,313885,1,17163,1,3667,1,4919,1,23255,1,403537,1,25148,1,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,48,1,1240,1,1,1,0,1
7,4864200,4073,9570,35.910072,,0,8,8,96,37561,1333,2274,4826639,18,150,70,1,24728,1,140,1,457421,1,349764,1,250813,1,93941,1,3638891,1,10871,1,784552,1,11843,4,570940,4,77650,4,657867,4,1324642,8,1980235,96,0,0,5471,1,198212,1,6382,1,0,0,0,0,0,0,324595,1,18606,1,3707,1,4849,1,22994,1,404069,1,25289,1,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
8,5001900,4066,9570,35.88657,,0,8,8,96,37505,1292,2214,4964395,18,150,110,1,25058,1,40,1,461018,1,356807,1,250833,1,94512,1,3764994,1,11021,1,851741,1,12204,4,569818,4,77459,4,669089,4,1252453,8,1919328,96,0,0,5350,1,322211,1,3377,1,0,0,0,0,0,0,330988,1,19147,1,3827,1,4919,1,24317,1,406082,1,25479,1,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,48,1,1240,1,1,1,0,1
9,4859300,4061,9570,35.86034,,0,8,8,96,37710,1713,2114,4821590,18,150,130,1,25148,1,100,1,458533,1,342770,1,250693,1,89763,1,3643620,1,10831,1,816613,1,12304,4,572253,4,77900,4,677585,4,1254747,8,1930219,96,0,0,6012,1,217178,1,7314,1,0,0,0,0,0,0,318474,1,17915,1,3637,1,4909,1,22834,1,405070,1,25559,1,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,48,1,1240,1,1,1,0,1
10,4845500,4053,9570,35.831387,,0,8,8,96,36795,1944,2445,4808705,18,150,30,1,24858,1,90,1,458173,1,355114,1,250783,1,88460,1,3620606,1,10590,1,815331,1,12574,4,584546,4,77429,4,624553,4,1226153,8,1848261,96,0,0,5410,1,269529,1,3136,1,0,0,0,0,0,0,330557,1,18095,1,3647,1,4849,1,22263,1,405632,1,25239,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,1240,1,1,1,0,1
11,4814000,4054,9570,35.79971,,0,8,8,96,40653,1543,2114,4773347,18,150,100,1,30258,1,140,1,461700,1,356477,1,250843,1,91947,1,3571120,1,10761,1,861600,1,11993,4,574617,4,77880,4,625405,4,1196275,8,1819566,96,0,0,5511,1,208902,1,7394,1,0,0,0,0,0,0,331879,1,17965,1,3717,1,4819,1,24036,1,405020,1,27563,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,1240,1,1,1,0,1
12,4898500,4056,9570,35.765305,,0,8,8,96,38306,1783,2164,4860194,18,150,50,1,25118,1,60,1,459325,1,349594,1,250683,1,87990,1,3676844,1,10530,1,832754,1,12254,4,574998,4,77529,4,657276,4,1235651,8,1890763,96,0,0,5440,1,276393,1,2765,1,0,0,0,0,0,0,324966,1,18436,1,3547,1,4869,1,22694,1,405922,1,25569,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,1240,1,1,1,0,1
13,4888100,4055,9570,35.728176,,0,8,8,96,39548,1894,2144,4848552,18,150,40,1,25118,1,140,1,457732,1,351557,1,250763,1,87869,1,3664781,1,10550,1,802426,1,12053,4,574347,4,77399,4,676143,4,1283884,8,1957882,96,0,0,5951,1,222509,1,8176,1,0,0,0,0,0,0,329034,1,16261,1,3477,1,4829,1,23235,1,404169,1,25359,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,1240,1,1,1,0,1
14,4963100,4060,9570,35.688324,,0,8,8,96,37430,1343,2114,4925670,18,150,10,1,24958,1,110,1,459776,1,343702,1,250773,1,88711,1,3746809,1,10821,1,841020,1,12524,4,574928,4,77970,4,655583,4,1304303,8,1957772,96,0,0,5430,1,271142,1,2565,1,0,0,0,0,0,0,320638,1,16732,1,3667,1,4819,1,23425,1,406233,1,25108,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1,1240,1,1,1,0,1
15,4853700,4057,9570,35.64575,,0,8,8,96,37521,1783,2194,4816179,18,150,10,1,25189,1,100,1,457221,1,346758,1,250743,1,89242,1,3636266,1,10651,1,790172,1,12153,4,574807,4,77299,4,653229,4,1296568,8,1947602,96,0,0,5420,1,217439,1,7394,1,0,0,0,0,0,0,321870,1,18025,1,3597,1,4819,1,22644,1,403698,1,25449,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1,1240,1,1,1,0,1
16,4939000,4055,9570,35.600445,,0,8,8,96,36995,1783,2094,4902005,18,150,40,1,24898,1,60,1,463653,1,351527,1,250703,1,88420,1,3711831,1,10871,1,822705,1,12143,4,576891,4,77760,4,657397,4,1298301,8,1953604,96,0,0,5400,1,255913,1,3537,1,0,0,0,0,0,0,328683,1,16602,1,3567,1,4849,1,23395,1,409880,1,25359,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,48,1,1240,1,1,1,0,1
17,4897700,4051,9570,35.552414,,0,8,8,96,36825,1854,2615,4860875,18,150,30,1,25098,1,40,1,465797,1,345896,1,250743,1,88541,1,3673979,1,10751,1,830911,1,12234,4,577823,4,78421,4,662106,4,1287761,8,1947252,96,0,0,5451,1,209454,1,7965,1,0,0,0,0,0,0,319035,1,19558,1,4629,1,4839,1,23605,1,411673,1,25459,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,48,1,1240,1,1,1,0,1
