step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
10,16597700,4053,9570,35.831387,,0,8,8,96,400150,1463,3076,16197550,18,147,130,1,31072,1,60,1,469620,1,2475544,1,905684,1,82764,1,12214228,1,18447,1,712492,1,7595,4,572324,4,64618,4,3602728,4,7067612,8,10667263,96,0,0,5270,1,176710,1,3417,1,0,0,0,0,0,0,0,0,0,0,0,0,5170,1,26973,1,412377,1,24599,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,1240,1,1,1,0,1
11,16718500,4054,9570,35.79971,,0,8,8,96,187840,1723,3327,16530660,18,147,170,1,31282,1,200,1,586462,1,2535864,1,905805,1,95199,1,12355769,1,19909,1,828201,1,7715,4,567354,4,65670,4,3603890,4,7118833,8,10719396,96,0,0,5621,1,154175,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,6292,1,30791,1,516193,1,32174,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,1240,1,1,1,0,1
12,16595600,4056,9570,35.765305,,0,8,8,96,485494,1693,2946,16110106,18,147,140,1,34839,1,130,1,577404,1,2475504,1,905564,1,84558,1,12013280,1,18687,1,733924,1,7465,4,557264,4,63526,4,3550153,4,6943867,8,10491074,96,0,0,5180,1,147693,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,6102,1,28466,1,511493,1,30821,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,1240,1,1,1,0,1
13,16139000,4055,9570,35.728176,,0,8,8,96,163601,1383,3156,15975399,18,147,80,1,33076,1,431,1,478438,1,2503370,1,905594,1,85409,1,11951087,1,17915,1,730397,1,7254,4,548877,4,63235,4,3529072,4,6929599,8,10455514,96,0,0,5290,1,133394,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,6473,1,28266,1,416886,1,26593,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
14,16856200,4060,9570,35.688324,,0,8,8,96,450618,1954,3437,16405582,18,147,160,1,29478,1,120,1,582765,1,2284636,1,905764,1,109527,1,12474153,1,18978,1,887348,1,9629,4,576963,4,67163,4,3600834,4,7047973,8,10645370,96,0,0,8507,1,269724,1,4058,1,0,0,0,0,0,0,0,0,0,0,0,0,7445,1,27755,1,514840,1,31031,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,1240,1,1,1,0,1
15,16694900,4057,9570,35.64575,,0,8,8,96,79823,2355,3116,16615077,18,147,281,1,35110,1,140,1,590320,1,2731111,1,906386,1,86091,1,12248927,1,16713,1,758312,1,7645,4,564298,4,64718,4,3605573,4,7059987,8,10662444,96,0,0,5541,1,177933,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,7355,1,31001,1,518177,1,32755,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,1240,1,1,1,0,1
16,17312700,4055,9570,35.600445,,0,8,8,96,880215,1573,3106,16432485,18,147,180,1,32765,1,150,1,583115,1,2348723,1,905764,1,101852,1,12434454,1,25480,1,910273,1,7745,4,597985,4,63977,4,3636915,4,6957784,8,10591593,96,0,0,7014,1,247821,1,3367,1,0,0,0,0,0,0,0,0,0,0,0,0,6272,1,29278,1,515531,1,31362,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,1240,1,1,1,0,1
17,16443300,4051,9570,35.552414,,0,8,8,96,185681,1693,3287,16257619,18,147,160,1,38917,1,250,1,597704,1,2377360,1,905784,1,93826,1,12229699,1,13918,1,906786,1,7465,4,562845,4,63977,4,3557027,4,6963426,8,10517166,96,0,0,5280,1,150368,1,10831,1,0,0,0,0,0,0,0,0,0,0,0,0,11112,1,36302,1,518307,1,31162,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,1240,1,1,1,0,1
18,16674600,4049,9570,35.501663,,0,8,8,96,263618,1763,3257,16410982,18,147,160,1,32454,1,240,1,477907,1,2515564,1,905855,1,115599,1,12344677,1,18527,1,789715,1,16543,4,572063,4,64979,4,3624611,4,7106579,8,10727933,96,0,0,5331,1,160488,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,12314,1,24819,1,414581,1,25060,1,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,1240,1,1,1,0,1
19,16729000,4050,9570,35.448185,,0,8,8,96,233360,2254,3217,16495640,18,147,140,1,30360,1,140,1,590770,1,2500524,1,906025,1,112343,1,12337603,1,17735,1,803201,1,7775,4,573055,4,65169,4,3616465,4,7110667,8,10723915,96,0,0,5280,1,151089,1,2645,1,0,0,0,0,0,0,0,0,0,0,0,0,7685,1,31823,1,519279,1,31072,1,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,1240,1,1,1,0,1
