step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,20152500,4495,9570,35.998295,,0,9,9,108,93825,4960,4930,20058675,18,155,711,1,125428,1,170,1,2248176,1,2807091,1,825172,1,141390,1,13898654,1,11883,1,542352,1,9238,4,543364,4,66562,4,4286266,4,8419319,8,12700655,108,0,0,4669,1,19308,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16948200,4300,9570,35.993866,,0,9,8,96,197467,3948,2926,16750733,18,155,230,1,50259,1,150,1,2219068,1,949037,1,825162,1,119506,1,12573954,1,13366,1,422425,1,7495,4,530249,4,65449,4,3957395,4,7547394,8,11479790,96,22074,12,9188,1,27825,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,16417100,4339,9570,35.986713,,0,9,8,96,78121,1413,5250,16338979,18,155,250,1,38747,1,140,1,2224659,1,758320,1,825222,1,116310,1,12365041,1,10290,1,328490,1,7385,4,527393,4,65239,4,3846566,4,7559078,8,11371336,96,29057,12,3968,1,22454,1,3056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,15945900,4335,9570,35.976837,,0,9,8,96,64786,1493,5060,15881114,18,155,220,1,26983,1,60,1,1965226,1,615607,1,825202,1,94347,1,12337737,1,15731,1,282258,1,7164,4,501872,4,65299,4,3859592,4,7594037,8,11424290,96,24278,12,3216,1,20230,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,16249400,4329,9570,35.964233,,0,9,8,96,69185,3427,2526,16180215,18,155,170,1,35811,1,160,1,2151655,1,751135,1,825162,1,92984,1,12312978,1,10160,1,267790,1,7064,4,501422,4,71832,4,3848440,4,7586822,8,11407828,96,24909,12,3337,1,19939,1,2906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,15887100,4324,9570,35.948902,,0,9,8,96,35825,1002,3928,15851275,18,155,70,1,26883,1,80,1,1928463,1,618142,1,825092,1,93585,1,12348929,1,10030,1,271206,1,7375,4,498055,4,64828,4,3872498,4,7607824,8,11453709,96,22685,12,3266,1,20280,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,15851400,4326,9570,35.93085,,0,9,8,96,37108,992,2535,15814292,18,155,80,1,26873,1,100,1,1926610,1,614635,1,825112,1,92884,1,12318048,1,9950,1,265345,1,6984,4,497844,4,64868,4,3867979,4,7587564,8,11427797,96,25210,12,3337,1,20571,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,15933400,4319,9570,35.910072,,0,9,8,96,55573,1283,2525,15877827,18,155,70,1,27955,1,90,1,1928263,1,616158,1,825112,1,97924,1,12366434,1,15821,1,264884,1,7054,4,497875,4,64968,4,3867758,4,7630930,8,11474269,96,21893,12,3307,1,25200,1,3176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,16376400,4316,9570,35.88657,,0,9,8,96,103592,1723,2696,16272808,18,155,100,1,25621,1,200,1,2154300,1,759241,1,825192,1,103715,1,12388337,1,16102,1,317909,1,7134,4,498426,4,65550,4,3862748,4,7600008,8,11438178,96,21883,12,3156,1,29108,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,16200600,4312,9570,35.86034,,0,9,8,96,100694,1673,2836,16099906,18,155,120,1,27094,1,100,1,2067508,1,727268,1,825092,1,99186,1,12340392,1,13146,1,280394,1,7104,4,511972,4,70199,4,3853109,4,7583456,8,11418900,96,14829,12,3577,1,26162,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
