step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,21742400,4495,9570,35.998295,,0,9,9,108,107909,5501,5972,21634491,18,155,1333,1,146857,1,311,1,2195040,1,3993304,1,833118,1,187857,1,14258766,1,17905,1,775946,1,12144,4,553923,4,67672,4,4317678,4,8469101,8,12780808,108,0,0,5330,1,48214,1,3256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16954900,4300,9570,35.993866,,0,9,8,96,145970,3276,2635,16808930,18,155,291,1,51521,1,100,1,2261189,1,965707,1,832898,1,108893,1,12578302,1,10030,1,486671,1,7595,4,525507,4,64907,4,3933577,4,7532220,8,11441490,96,21672,12,3256,1,18757,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,16652200,4339,9570,35.986713,,0,9,8,96,143517,1372,5271,16508683,18,155,170,1,39066,1,110,1,2208707,1,764424,1,832828,1,121277,1,12532082,1,10020,1,338502,1,7344,4,527781,4,64957,4,4038002,4,7529395,8,11533130,96,28997,12,3216,1,18947,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,16418500,4335,9570,35.976837,,0,9,8,96,137822,1372,5241,16280678,18,155,180,1,39487,1,80,1,2090956,1,734856,1,832737,1,119854,1,12452496,1,10030,1,327781,1,7685,4,527571,4,64927,4,3935020,4,7562971,8,11468593,96,24157,12,3286,1,19358,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,16128700,4329,9570,35.964233,,0,9,8,96,54245,3787,2615,16074455,18,155,170,1,36391,1,40,1,2218395,1,604642,1,832878,1,97400,1,12274528,1,10010,1,270569,1,7164,4,496500,4,65077,4,3846377,4,7560225,8,11379218,96,24768,12,3126,1,19137,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,15906800,4324,9570,35.948902,,0,9,8,96,50552,1313,4871,15856248,18,155,150,1,26231,1,60,1,1954309,1,615643,1,832888,1,94905,1,12322131,1,9929,1,269677,1,7374,4,498685,4,65197,4,3859403,4,7593711,8,11425528,96,22714,12,3286,1,20941,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,15904800,4326,9570,35.93085,,0,9,8,96,52570,1202,2616,15852230,18,155,150,1,26311,1,80,1,1954480,1,614431,1,832888,1,94344,1,12319607,1,9939,1,270348,1,7044,4,499236,4,65298,4,3862929,4,7588470,8,11423615,96,25169,12,3337,1,19218,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,15958500,4319,9570,35.910072,,0,9,8,96,89437,1413,2876,15869063,18,155,110,1,27794,1,120,1,1953498,1,605002,1,832868,1,98853,1,12335007,1,15811,1,269647,1,7645,4,494326,4,64546,4,3848992,4,7621595,8,11445909,96,21803,12,3106,1,21081,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,16332100,4316,9570,35.88657,,0,9,8,96,102803,1042,2606,16229297,18,155,130,1,27424,1,150,1,2231491,1,750236,1,832707,1,98252,1,12272905,1,16001,1,274196,1,6954,4,495699,4,64827,4,3854222,4,7550015,8,11379949,96,21682,12,3136,1,20260,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,16308300,4312,9570,35.86034,,0,9,8,96,101336,1443,3136,16206964,18,155,70,1,28446,1,130,1,2168338,1,742000,1,832727,1,98613,1,12320508,1,16132,1,269286,1,7976,4,497963,4,69045,4,3859382,4,7584883,8,11426371,96,14759,12,3126,1,24498,1,2906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
