arm,step,manifolds_live,points
full_step/1,228,5059,17117
full_step/1,229,5061,17117
full_step/1,230,5061,17114
full_step/1,231,5061,17122
full_step/1,232,5061,17119
full_step/1,233,5061,17114
full_step/1,234,5061,17116
full_step/1,235,5060,17111
full_step/1,236,5060,17112
full_step/1,237,5060,17110
full_step/1,238,5060,17107
full_step/1,239,5059,17108
full_step/1,240,5059,17111
full_step/1,241,5058,17110
full_step/1,242,5058,17114
full_step/1,243,5059,17113
full_step/1,244,5058,17115
full_step/1,245,5058,17121
full_step/1,246,5058,17123
full_step/1,247,5058,17124
full_step/1,248,5057,17122
full_step/1,249,5057,17121
full_step/1,250,5058,17123
full_step/1,251,5058,17127
full_step/1,252,5058,17126
full_step/1,253,5058,17125
full_step/1,254,5059,17128
full_step/1,255,5059,17129
full_step/1,256,5058,17127
full_step/1,257,5057,17125
full_step/1,258,5058,17129
full_step/1,259,5057,17127
full_step/1,260,5057,17127
full_step/1,261,5057,17129
full_step/1,262,5057,17131
full_step/1,263,5058,17132
full_step/1,264,5058,17133
full_step/1,265,5057,17134
full_step/1,266,5057,17137
full_step/1,267,5057,17136
full_step/1,268,5057,17139
full_step/1,269,5057,17139
full_step/1,270,5057,17139
full_step/1,271,5057,17142
full_step/1,272,5057,17140
full_step/1,273,5058,17143
full_step/1,274,5058,17144
full_step/1,275,5057,17142
full_step/1,276,5057,17140
full_step/1,277,5057,17144
full_step/1,278,5056,17138
full_step/1,279,5057,17138
full_step/1,280,5056,17141
full_step/1,281,5057,17143
full_step/1,282,5056,17144
full_step/1,283,5057,17145
full_step/1,284,5056,17142
full_step/1,285,5056,17143
full_step/1,286,5056,17142
full_step/1,287,5056,17143
full_step/1,288,5056,17142
full_step/1,289,5058,17146
full_step/1,290,5058,17145
full_step/1,291,5058,17145
full_step/1,292,5058,17141
full_step/1,293,5058,17142
full_step/1,294,5058,17149
full_step/1,295,5058,17149
full_step/1,296,5057,17147
full_step/1,297,5058,17144
full_step/1,298,5059,17147
full_step/1,299,5058,17144
full_step/1,300,5059,17148
full_step/1,301,5059,17146
full_step/1,302,5059,17147
full_step/1,303,5058,17146
full_step/1,304,5059,17149
full_step/1,305,5058,17148
full_step/1,306,5058,17153
full_step/1,307,5059,17152
full_step/1,308,5059,17152
full_step/1,309,5059,17153
full_step/1,310,5057,17149
full_step/1,311,5058,17147
full_step/1,312,5060,17150
full_step/1,313,5059,17149
full_step/1,314,5060,17152
full_step/1,315,5058,17149
full_step/1,316,5059,17150
full_step/1,317,5057,17150
full_step/1,318,5059,17154
full_step/1,319,5059,17151
full_step/1,320,5058,17153
full_step/1,321,5058,17154
full_step/1,322,5058,17159
full_step/1,323,5058,17157
full_step/1,324,5059,17159
full_step/1,325,5060,17165
full_step/1,326,5060,17165
full_step/1,327,5059,17164
full_step/1,328,5059,17165
full_step/1,329,5059,17162
full_step/1,330,5058,17168
full_step/1,331,5058,17161
full_step/1,332,5059,17162
full_step/1,333,5056,17162
full_step/1,334,5056,17157
full_step/1,335,5056,17158
full_step/1,336,5055,17155
full_step/1,337,5055,17161
full_step/1,338,5055,17153
full_step/1,339,5055,17153
full_step/1,340,5055,17153
full_step/1,341,5055,17152
full_step/1,342,5055,17153
full_step/1,343,5054,17150
full_step/1,344,5054,17150
full_step/1,345,5054,17147
full_step/1,346,5053,17146
full_step/1,347,5054,17155
full_step/1,348,5053,17156
full_step/1,349,5055,17156
full_step/1,350,5055,17144
full_step/1,351,5053,17143
full_step/1,352,5053,17141
full_step/1,353,5054,17143
full_step/1,354,5053,17141
full_step/1,355,5053,17145
full_step/1,356,5053,17142
full_step/1,357,5054,17144
full_step/1,358,5054,17148
full_step/1,359,5055,17148
full_step/1,360,5055,17146
full_step/1,361,5056,17150
full_step/1,362,5054,17145
full_step/1,363,5055,17148
full_step/1,364,5054,17148
full_step/1,365,5054,17151
full_step/1,366,5054,17152
full_step/1,367,5054,17151
full_step/1,368,5055,17152
full_step/1,369,5054,17148
