arm,step,manifolds_live,points
full_step/1,228,4876,13487
full_step/1,229,4875,13465
full_step/1,230,4875,13451
full_step/1,231,4877,13505
full_step/1,232,4875,13498
full_step/1,233,4881,13501
full_step/1,234,4876,13510
full_step/1,235,4882,13531
full_step/1,236,4872,13491
full_step/1,237,4872,13494
full_step/1,238,4870,13461
full_step/1,239,4880,13461
full_step/1,240,4874,13409
full_step/1,241,4882,13447
full_step/1,242,4875,13419
full_step/1,243,4877,13421
full_step/1,244,4870,13417
full_step/1,245,4872,13482
full_step/1,246,4865,13399
full_step/1,247,4878,13409
full_step/1,248,4876,13428
full_step/1,249,4869,13479
full_step/1,250,4862,13457
full_step/1,251,4868,13489
full_step/1,252,4876,13504
full_step/1,253,4867,13406
full_step/1,254,4875,13399
full_step/1,255,4882,13476
full_step/1,256,4880,13441
full_step/1,257,4882,13466
full_step/1,258,4874,13481
full_step/1,259,4876,13511
full_step/1,260,4868,13472
full_step/1,261,4870,13477
full_step/1,262,4874,13472
full_step/1,263,4870,13460
full_step/1,264,4861,13452
full_step/1,265,4862,13479
full_step/1,266,4853,13495
full_step/1,267,4858,13499
full_step/1,268,4864,13526
full_step/1,269,4860,13480
full_step/1,270,4863,13477
full_step/1,271,4855,13497
full_step/1,272,4842,13464
full_step/1,273,4846,13419
full_step/1,274,4852,13420
full_step/1,275,4851,13416
full_step/1,276,4844,13354
full_step/1,277,4857,13408
full_step/1,278,4859,13408
full_step/1,279,4863,13410
full_step/1,280,4856,13411
full_step/1,281,4852,13425
full_step/1,282,4840,13377
full_step/1,283,4845,13348
full_step/1,284,4844,13426
full_step/1,285,4855,13375
full_step/1,286,4850,13376
full_step/1,287,4849,13421
full_step/1,288,4842,13385
full_step/1,289,4845,13405
full_step/1,290,4843,13456
full_step/1,291,4851,13456
full_step/1,292,4852,13465
full_step/1,293,4853,13416
full_step/1,294,4847,13360
full_step/1,295,4844,13381
full_step/1,296,4844,13418
full_step/1,297,4837,13458
full_step/1,298,4837,13485
full_step/1,299,4837,13429
full_step/1,300,4835,13461
full_step/1,301,4839,13480
full_step/1,302,4837,13403
full_step/1,303,4831,13398
full_step/1,304,4827,13407
full_step/1,305,4824,13374
full_step/1,306,4834,13387
full_step/1,307,4841,13346
full_step/1,308,4839,13328
full_step/1,309,4850,13309
full_step/1,310,4840,13366
full_step/1,311,4846,13329
full_step/1,312,4840,13308
full_step/1,313,4846,13264
full_step/1,314,4845,13274
full_step/1,315,4826,13297
full_step/1,316,4835,13302
full_step/1,317,4824,13274
full_step/1,318,4839,13295
full_step/1,319,4839,13320
full_step/1,320,4835,13325
full_step/1,321,4828,13367
full_step/1,322,4830,13398
full_step/1,323,4837,13429
full_step/1,324,4831,13430
full_step/1,325,4835,13422
full_step/1,326,4834,13409
full_step/1,327,4838,13397
full_step/1,328,4832,13366
full_step/1,329,4839,13415
full_step/1,330,4844,13407
full_step/1,331,4841,13445
full_step/1,332,4842,13475
full_step/1,333,4845,13509
full_step/1,334,4847,13498
full_step/1,335,4839,13476
full_step/1,336,4839,13465
full_step/1,337,4833,13441
full_step/1,338,4838,13447
full_step/1,339,4833,13423
full_step/1,340,4839,13447
full_step/1,341,4844,13421
full_step/1,342,4842,13477
full_step/1,343,4838,13445
full_step/1,344,4841,13421
full_step/1,345,4836,13371
full_step/1,346,4843,13373
full_step/1,347,4854,13365
full_step/1,348,4851,13399
full_step/1,349,4848,13360
full_step/1,350,4852,13351
full_step/1,351,4855,13252
full_step/1,352,4861,13325
full_step/1,353,4849,13378
full_step/1,354,4849,13380
full_step/1,355,4847,13352
full_step/1,356,4847,13366
full_step/1,357,4847,13385
full_step/1,358,4844,13327
full_step/1,359,4844,13323
full_step/1,360,4843,13266
full_step/1,361,4840,13236
full_step/1,362,4838,13252
full_step/1,363,4832,13214
full_step/1,364,4824,13241
full_step/1,365,4828,13234
full_step/1,366,4825,13213
full_step/1,367,4826,13228
full_step/1,368,4824,13270
full_step/1,369,4824,13215
full_step/1,370,4825,13255
full_step/1,371,4829,13313
full_step/1,372,4815,13277
full_step/1,373,4825,13280
full_step/1,374,4831,13280
full_step/1,375,4832,13301
full_step/1,376,4838,13252
full_step/1,377,4844,13227
full_step/1,378,4843,13270
full_step/1,379,4838,13255
full_step/1,380,4841,13237
full_step/1,381,4849,13266
full_step/1,382,4841,13268
full_step/1,383,4839,13313
full_step/1,384,4841,13288
full_step/1,385,4841,13335
full_step/1,386,4845,13400
full_step/1,387,4850,13438
full_step/1,388,4845,13409
full_step/1,389,4851,13359
full_step/1,390,4854,13377
full_step/1,391,4842,13450
full_step/1,392,4841,13402
full_step/1,393,4852,13440
full_step/1,394,4849,13452
full_step/1,395,4843,13390
full_step/1,396,4833,13406
full_step/1,397,4843,13370
full_step/1,398,4835,13370
full_step/1,399,4833,13333
full_step/1,400,4839,13321
full_step/1,401,4839,13307
full_step/1,402,4833,13269
full_step/1,403,4836,13334
full_step/1,404,4829,13358
full_step/1,405,4822,13307
full_step/1,406,4827,13312
full_step/1,407,4830,13340
full_step/1,408,4830,13373
full_step/1,409,4839,13415
full_step/1,410,4839,13418
full_step/1,411,4846,13433
full_step/1,412,4837,13401
full_step/1,413,4838,13393
full_step/1,414,4832,13404
full_step/1,415,4835,13372
full_step/1,416,4842,13456
full_step/1,417,4848,13470
full_step/1,418,4842,13434
full_step/1,419,4841,13424
full_step/1,420,4841,13502
full_step/1,421,4838,13455
full_step/1,422,4839,13412
full_step/1,423,4841,13405
full_step/1,424,4839,13449
full_step/1,425,4833,13393
full_step/1,426,4843,13408
full_step/1,427,4835,13411
full_step/1,428,4831,13441
full_step/1,429,4832,13441
full_step/1,430,4831,13378
full_step/1,431,4839,13416
full_step/1,432,4834,13405
full_step/1,433,4838,13402
full_step/1,434,4834,13443
full_step/1,435,4835,13500
full_step/1,436,4840,13510
full_step/1,437,4836,13560
full_step/1,438,4848,13581
full_step/1,439,4847,13562
full_step/1,440,4846,13483
full_step/1,441,4840,13499
full_step/1,442,4840,13513
full_step/1,443,4850,13513
full_step/1,444,4838,13496
full_step/1,445,4834,13503
full_step/1,446,4839,13524
