# UG-15 leg (2): the pin set capture froze, one row per pinned body (B3 review W1). Written by
# `ug15 leg2 capture` beside the pin files; every reader of a pin file REDs [pin set] unless the
# file holds exactly its subject's rows here, and unless every (candidate, subject) pair of the
# candidate list is either here or in leg2-absent.txt.
# subject	cand	name	size	copies	sha256
query_dsl	H-1	<criterion::routine::Function<criterion::measurement::WallTime, <criterion::benchmark_group::BenchmarkGroup<criterion::measurement::WallTime>>::bench_function<criterion::benchmark_group::BenchmarkId, query_dsl::bench_query_ref_iter::{closure#0}>::{closure#0}, ()> as criterion::routine::Routine<criterion::measurement::WallTime, ()>>::sample	6092	1	3273b4e0c5c09b5b3e6a6e572545f479595fa55deb40450051fa06ffef5e89c7
query_dsl	H-1	<criterion::routine::Function<criterion::measurement::WallTime, <criterion::benchmark_group::BenchmarkGroup<criterion::measurement::WallTime>>::bench_function<criterion::benchmark_group::BenchmarkId, query_dsl::bench_query_ref_iter::{closure#0}>::{closure#0}, ()> as criterion::routine::Routine<criterion::measurement::WallTime, ()>>::warm_up	342	1	f50360bac98bf319e82035a801dc85127cea9cb9cb9729caaa54924a6084b08d
phase9_scheduler	H-3	<boyko_ecs::ecs::core::schedule::schedule::Schedule>::run	11626	1	d26fc7683a37e10c3020e3f01cfc634eaf404330fc49548ca6e2ab1963b6a240
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::apply	1	1	bfb4f2a33b98810ab2a429e03b44fcfa2e8edae9bd589a241de5c7fcc040c1d3
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::check_change_tick	64	1	1f80893059b2e50a93b55596de574023219c07ba10d9fb66f4ecd07e3f66cd32
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::has_deferred	3	1	4180e57ab6de6ea731119347ae54f349e582839d05e05b941eb669f62efc3bc6
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::initialize	204	1	bcf4c1a7a5740da6f641f74e87e399bd8604db86aa58d4b7f21e14f59086ac37
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::meta	4	1	814105ff4f73389b539a0a0c3208dafc76f75ed10d6be77171e859a03b69bc57
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::name	15	1	44472b443f47b70da11287fa7ab10cc3c35abe987b981ce36f4390ab09a5049f
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::run_dispatcher	52	1	68d2fe4a980d35faeb198194a64cfaffd1e08560d774ba0918bc9b16475ab66d
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::run_unsafe	52	1	a691fa490291547d46c77a275975fb1ad854fc475c21789eb9447b1f758a2cb4
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::set_change_ticks	14	1	028671234b512837cdf8a8e0cec4373307168e319a659bfd86e8c0d9605fb89f
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()> as boyko_ecs::ecs::core::system::system::System>::set_zone	8	1	f94977ccfffa654954b4389320a1bccf3ef73f6c3a8087643db59c350d5dd620
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#1}, fn()> as boyko_ecs::ecs::core::system::system::System>::run_dispatcher	52	1	b43bc7aa5a7033343f05105455b0f82c10ec23cb79d2d1c2663a3dc21ddc1dd1
phase9_scheduler	H-3	<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#1}, fn()> as boyko_ecs::ecs::core::system::system::System>::run_unsafe	52	1	13d7157385f8b0418d125c5f7a2c61a4963329e06b8f31904ee01e728e8419b6
phase9_scheduler	H-3	core::ptr::drop_glue::<boyko_ecs::ecs::core::system::function_system::FunctionSystem<phase9_scheduler::bench_schedule_two_disjoint::{closure#0}, fn()>>	49	1	1ce506ef77ea2541976feff5ca0452c4ab2230b625c924021788e205b156c130
