step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,20782000,4495,9570,35.998295,,0,9,9,108,156621,7765,5461,20625379,18,155,751,1,134972,1,160,1,2066967,1,3112314,1,857392,1,169829,1,14258895,1,24097,1,624791,1,11963,4,546910,4,75817,4,4347830,4,8532082,8,12874451,108,0,0,10971,1,95936,1,4829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,19040100,4300,9570,35.993866,,0,9,8,96,108495,7414,3177,18931605,18,155,802,1,56419,1,882,1,2495959,1,1730295,1,858444,1,247470,1,13517909,1,23425,1,1287667,1,14909,4,521211,4,79915,4,3900152,4,7627618,8,11502249,96,22343,12,4619,1,70056,1,4348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,17970900,4339,9570,35.986713,,0,9,8,96,166721,3486,6143,17804179,18,155,892,1,30669,1,591,1,1967835,1,1424031,1,857032,1,356080,1,13082484,1,84564,1,817104,1,8496,4,545979,4,66960,4,3909259,4,7625865,8,11499705,96,29277,12,4328,1,91497,1,9508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,17163400,4335,9570,35.976837,,0,9,8,96,63677,2715,8657,17099723,18,155,1974,1,71308,1,761,1,2046608,1,943479,1,857593,1,171973,1,12993181,1,12845,1,653016,1,9408,4,561439,4,70316,4,3958284,4,7668007,8,11593367,96,24267,12,4899,1,60337,1,4759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,16991500,4329,9570,35.964233,,0,9,8,96,66746,8216,2726,16924754,18,155,421,1,37493,1,130,1,2271724,1,668827,1,857232,1,176111,1,12900692,1,12124,1,637987,1,11322,4,579574,4,67992,4,3896364,4,7656374,8,11525114,96,24898,12,3637,1,36651,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,16219300,4324,9570,35.948902,,0,9,8,96,61954,1533,7304,16157346,18,155,321,1,27694,1,120,1,1953898,1,632556,1,857272,1,96778,1,12571814,1,16893,1,375107,1,7635,4,498356,4,66870,4,3901354,4,7629171,8,11500477,96,22744,12,6583,1,82059,1,3146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,16269000,4326,9570,35.93085,,0,9,8,96,65635,1904,2515,16203365,18,155,491,1,28295,1,240,1,1965741,1,634240,1,857142,1,97699,1,12607223,1,12294,1,407069,1,8056,4,506662,4,73793,4,3906123,4,7646355,8,11524784,96,25179,12,4479,1,49586,1,3196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,16126400,4319,9570,35.910072,,0,9,8,96,47446,1303,2285,16078954,18,155,371,1,28165,1,250,1,1922447,1,632496,1,857172,1,98461,1,12527989,1,11602,1,388644,1,7164,4,500250,4,65888,4,3909029,4,7615355,8,11500226,96,21872,12,3517,1,33665,1,3176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,16057000,4316,9570,35.88657,,0,9,8,96,44655,1132,2335,16012345,18,155,70,1,27413,1,90,1,1925714,1,629891,1,856961,1,99824,1,12461040,1,11342,1,345630,1,7685,4,498366,4,66329,4,3879021,4,7604874,8,11459818,96,21742,12,4459,1,50698,1,2846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,16172100,4312,9570,35.86034,,0,9,8,96,43750,1693,2736,16128350,18,155,230,1,27513,1,391,1,2006089,1,617066,1,857142,1,96377,1,12511918,1,11623,1,377582,1,8386,4,530609,4,65858,4,3877778,4,7605806,8,11466190,96,14658,12,3397,1,38044,1,2765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
