step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
10,5870100,4053,9570,35.831387,,0,8,8,96,35100,1282,2144,5835000,16,145,80,1,27692,1,70,1,1939511,1,370601,1,115078,1,3371507,1,10460,1,391621,1,13756,4,685007,4,105530,4,775172,4,1359824,8,2132852,96,0,0,3737,1,32251,1,3326,1,0,0,0,0,0,0,305278,1,46238,1,5430,1,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,0,0,0,0,0,0,0,1,5506,1,4064,1
11,5256300,4054,9570,35.79971,,0,8,8,96,35618,1192,2135,5220682,16,145,190,1,28714,1,80,1,1952135,1,354661,1,88047,1,2786865,1,9989,1,280822,1,11872,4,479628,4,78589,4,650221,4,1250707,8,1898793,96,0,0,4929,1,26149,1,2755,1,0,0,0,0,0,0,323923,1,16752,1,4759,1,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,0,0,0,0,0,0,0,1,5510,1,4060,1
12,5327200,4056,9570,35.765305,,0,8,8,96,34682,1243,2034,5292518,16,145,60,1,27983,1,50,1,1942356,1,334724,1,86093,1,2889459,1,11792,1,303104,1,12153,4,479708,4,78919,4,687161,4,1277408,8,1962534,96,0,0,4509,1,42040,1,3216,1,0,0,0,0,0,0,299637,1,21160,1,4669,1,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,0,0,0,0,0,0,0,1,5509,1,4061,1
13,5770000,4055,9570,35.728176,,0,8,8,96,35215,1272,2214,5734785,16,145,150,1,31740,1,140,1,2290806,1,380250,1,89610,1,2931909,1,10179,1,304356,1,12644,4,479347,4,96242,4,677252,4,1331530,8,2006568,96,0,0,3006,1,23555,1,2705,1,0,0,0,0,0,0,345173,1,21521,1,4659,1,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,0,0,0,0,0,0,0,1,5510,1,4060,1
14,5229000,4060,9570,35.688324,,0,8,8,96,34758,1092,2135,5194242,16,145,281,1,27312,1,50,1,1939411,1,349371,1,85311,1,2782406,1,10099,1,271203,1,11762,4,484537,4,78408,4,642807,4,1264363,8,1905035,96,0,0,2946,1,22543,1,2745,1,0,0,0,0,0,0,318343,1,17243,1,4739,1,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1,0,0,0,0,0,0,0,1,5509,1,4061,1
15,5637700,4057,9570,35.64575,,0,8,8,96,41979,1343,2325,5595721,16,145,271,1,33293,1,40,1,2273633,1,357036,1,88227,1,2831399,1,11822,1,268258,1,11893,4,482613,4,80903,4,672483,4,1286064,8,1956222,96,0,0,3086,1,22072,1,2685,1,0,0,0,0,0,0,326127,1,16922,1,4689,1,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1,0,0,0,0,0,0,0,1,5508,1,4062,1
16,5922300,4055,9570,35.600445,,0,8,8,96,35117,1172,2135,5887183,16,145,100,1,32031,1,100,1,2169947,1,563567,1,85632,1,3025306,1,10500,1,285100,1,11963,4,507400,4,79450,4,742616,4,1364913,8,2105394,96,0,0,4028,1,25388,1,3276,1,0,0,0,0,0,0,529111,1,20429,1,4599,1,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,48,1,0,0,0,0,0,0,0,1,5511,1,4059,1
17,5395800,4051,9570,35.552414,,0,8,8,96,35274,1152,2305,5360526,16,145,120,1,28193,1,70,1,1954540,1,348109,1,85923,1,2932861,1,10710,1,272506,1,12153,4,483996,4,79190,4,705676,4,1334686,8,2038057,96,0,0,5490,1,34455,1,3557,1,0,0,0,0,0,0,317281,1,17683,1,4509,1,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,48,1,0,0,0,0,0,0,0,1,5511,1,4059,1
18,5831900,4049,9570,35.501663,,0,8,8,96,38364,1753,2014,5793536,16,145,90,1,28344,1,70,1,2172202,1,376182,1,92465,1,3111079,1,13105,1,295409,1,10981,4,494396,4,78448,4,737586,4,1429606,8,2165178,96,0,0,3296,1,53872,1,5731,1,0,0,0,0,0,0,335986,1,25979,1,4729,1,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,48,1,0,0,0,0,0,0,0,1,5517,1,4053,1
19,6256700,4050,9570,35.448185,,0,8,8,96,142492,1793,2054,6114208,16,145,160,1,67438,1,992,1,2499992,1,432163,1,117282,1,2985962,1,10219,1,422169,1,11983,4,549881,4,80342,4,639060,4,1239346,8,1876351,96,0,0,3056,1,35297,1,3036,1,0,0,0,0,0,0,368292,1,47670,1,5981,1,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,48,1,0,0,0,0,0,0,0,1,5519,1,4051,1
