step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
10,8432400,4053,9570,35.831387,,0,8,8,96,42220,1433,3607,8390180,18,140,551,1,30610,1,190,1,2369362,1,2384121,1,425050,1,106751,1,3060017,1,13527,1,300574,1,20521,4,319010,4,65159,4,772947,4,1543580,8,2312920,96,0,0,3016,1,31202,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0
11,8049500,4054,9570,35.79971,,0,8,8,96,48550,1192,2315,8000950,18,140,271,1,39238,1,110,1,2175359,1,2304624,1,425000,1,85649,1,2957244,1,13457,1,324211,1,7595,4,276056,4,66371,4,761284,4,1479263,8,2238232,96,0,0,3357,1,35400,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,0,0,0,0,0,0
12,7902200,4056,9570,35.765305,,0,8,8,96,52759,1283,2165,7849441,18,140,120,1,24017,1,711,1,1954492,1,2410163,1,424860,1,87102,1,2934549,1,13427,1,347537,1,7284,4,262719,4,65700,4,750152,4,1475596,8,2223583,96,0,0,2906,1,18847,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,0,0,0,0,0,0
13,7801200,4055,9570,35.728176,,0,8,8,96,42608,1092,2195,7758592,18,140,10,1,24088,1,90,1,1954512,1,2363461,1,424829,1,84126,1,2893999,1,13477,1,311295,1,7395,4,262589,4,65319,4,743870,4,1479123,8,2220798,96,0,0,2866,1,17986,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,0,0,0,0,0,0
14,7690000,4060,9570,35.688324,,0,8,8,96,42007,1042,2125,7647993,18,140,70,1,23667,1,60,1,1917880,1,2323612,1,424860,1,86541,1,2858038,1,13266,1,280885,1,7345,4,262198,4,65469,4,745383,4,1472059,8,2215317,96,0,0,2846,1,18346,1,2465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,0,0,0,0,0,0
15,7667800,4057,9570,35.64575,,0,8,8,96,41119,972,2094,7626681,18,140,30,1,23537,1,70,1,1920906,1,2294484,1,424819,1,84417,1,2865322,1,13096,1,281035,1,7284,4,264162,4,65650,4,749611,4,1473632,8,2221149,96,0,0,2896,1,17585,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,0,0,0,0,0,0
16,7629500,4055,9570,35.600445,,0,8,8,96,40734,932,1945,7588766,18,140,10,1,24208,1,50,1,1912720,1,2290145,1,424850,1,84878,1,2838559,1,13346,1,274102,1,7284,4,261126,4,65158,4,743439,4,1463632,8,2205127,96,0,0,2816,1,17545,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,0,0,0,0,0,0
17,8082100,4051,9570,35.552414,,0,8,8,96,65919,1433,2175,8016181,18,140,10,1,23486,1,130,1,2271358,1,2301097,1,425090,1,85309,1,2896103,1,13597,1,294953,1,7886,4,261376,4,65600,4,738840,4,1496968,8,2233634,96,0,0,3086,1,23416,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,0,0,0,0,0,0
18,8446600,4049,9570,35.501663,,0,8,8,96,60964,2295,3367,8385636,18,140,210,1,31432,1,90,1,2307911,1,2314804,1,425050,1,86190,1,3206181,1,13767,1,271597,1,13537,4,343579,4,71642,4,801283,4,1665807,8,2463724,96,0,0,3206,1,30741,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,0,0,0,0,0,0
19,8009700,4050,9570,35.448185,,0,8,8,96,60421,1453,2275,7949279,18,140,150,1,23727,1,110,1,1904093,1,2339533,1,425441,1,119175,1,3123552,1,13497,1,415311,1,9248,4,316656,4,70459,4,787516,4,1488872,8,2274113,96,0,0,3156,1,28326,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,0,0,0,0,0,0
20,8799900,4829,9570,35.391983,,0,14,12,144,60931,1864,3187,8738969,18,212,170,1,34999,1,50,1,2129278,1,2474790,1,424960,1,120177,1,3540276,1,14268,1,438697,1,9028,4,314031,4,65630,4,892904,4,1764026,8,2627342,144,26402,24,4689,1,46843,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,0,0,0,0,0,0
21,9463500,4715,9570,35.333054,,0,13,11,132,60053,1784,3247,9403447,18,200,190,1,24969,1,80,1,1930034,1,3265598,1,425110,1,109326,1,3633500,1,14639,1,587992,1,9419,4,319822,4,75389,4,861552,4,1716332,8,2556040,132,18597,24,4669,1,53917,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,0,0,0,0,0,0
