step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
10,8300100,4053,9570,35.831387,,0,8,8,96,44653,1272,2555,8255447,18,140,20,1,24448,1,100,1,1958496,1,2306725,1,453634,1,84475,1,3414544,1,13005,1,292159,1,7575,4,477050,4,65638,4,857170,4,1689993,8,2544609,96,0,0,2755,1,18436,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0
11,8312800,4054,9570,35.79971,,0,8,8,96,42805,1082,2475,8269995,18,140,40,1,24628,1,80,1,1953938,1,2328257,1,453644,1,83503,1,3412690,1,13216,1,290917,1,7374,4,479935,4,65778,4,854515,4,1688049,8,2540089,96,0,0,3116,1,19328,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,0,0,0,0,0,0
12,8691400,4056,9570,35.765305,,0,8,8,96,94287,3086,2796,8597113,18,140,50,1,24868,1,70,1,1959288,1,2362594,1,453834,1,128440,1,3648550,1,19418,1,467571,1,11422,4,486067,4,65137,4,852431,4,1713739,8,2563375,96,0,0,6122,1,39647,1,3326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,0,0,0,0,0,0
13,8741600,4055,9570,35.728176,,0,8,8,96,69281,1473,2405,8672319,18,140,351,1,35890,1,271,1,2305422,1,2317566,1,453794,1,83342,1,3461886,1,13797,1,320585,1,9519,4,479975,4,66620,4,853814,4,1687869,8,2539278,96,0,0,3557,1,35269,1,3206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,0,0,0,0,0,0
14,8760200,4060,9570,35.688324,,0,8,8,96,61840,1743,2665,8698360,18,140,271,1,24808,1,120,1,1924721,1,2436348,1,453794,1,85757,1,3759005,1,13536,1,459926,1,9288,4,545182,4,73383,4,902869,4,1725212,8,2625416,96,0,0,2785,1,35790,1,2826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,0,0,0,0,0,0
15,8668700,4057,9570,35.64575,,0,8,8,96,46699,1242,2436,8622001,18,140,90,1,35639,1,120,1,2216509,1,2378304,1,453784,1,83773,1,3440805,1,12975,1,320625,1,7655,4,475707,4,65037,4,855788,4,1690314,8,2543666,96,0,0,2775,1,19057,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,0,0,0,0,0,0
16,8283800,4055,9570,35.600445,,0,8,8,96,43743,1022,2425,8240057,18,140,50,1,24197,1,120,1,1927907,1,2330121,1,453594,1,82871,1,3408121,1,13075,1,292841,1,7465,4,475817,4,65307,4,854104,4,1687919,8,2539598,96,0,0,3156,1,17915,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,0,0,0,0,0,0
17,8255200,4051,9570,35.552414,,0,8,8,96,47787,1403,2325,8207413,18,140,60,1,31942,1,311,1,1932035,1,2287377,1,453674,1,82391,1,3406368,1,13256,1,273483,1,8025,4,476008,4,69726,4,850808,4,1698209,8,2546692,96,0,0,2645,1,23155,1,2906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,0,0,0,0,0,0
18,8261300,4049,9570,35.501663,,0,8,8,96,43206,1052,2255,8218094,18,140,20,1,24538,1,70,1,1920041,1,2305362,1,453564,1,83413,1,3418091,1,12995,1,265507,1,8306,4,488342,4,66249,4,854756,4,1705423,8,2557924,96,0,0,2926,1,22925,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,0,0,0,0,0,0
19,8315900,4050,9570,35.448185,,0,8,8,96,61655,1032,2425,8254245,18,140,50,1,23836,1,90,1,1922576,1,2302026,1,453684,1,112259,1,3426467,1,13256,1,309333,1,8416,4,475917,4,65197,4,852211,4,1688220,8,2538006,96,0,0,3036,1,20239,1,2866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,0,0,0,0,0,0
