step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
10,7721000,4053,9570,35.831387,,0,8,8,96,41631,1212,2415,7679369,18,140,40,1,25461,1,50,1,1960396,1,2317469,1,427504,1,86803,1,2850764,1,10882,1,295560,1,7475,4,264248,4,65541,4,734637,4,1456970,8,2189192,96,0,0,3447,1,19178,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0
11,7729600,4054,9570,35.79971,,0,8,8,96,47837,1062,2285,7681763,18,140,30,1,24709,1,30,1,1961989,1,2305585,1,426993,1,85571,1,2866015,1,10842,1,283797,1,7445,4,265430,4,65551,4,749888,4,1459255,8,2206858,96,0,0,3006,1,27856,1,2725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,0,0,0,0,0,0
12,7758100,4056,9570,35.765305,,0,8,8,96,46186,1072,2737,7711914,18,140,10,1,25110,1,50,1,1963823,1,2307349,1,427043,1,86212,1,2890253,1,12064,1,269929,1,8196,4,263677,4,67164,4,743786,4,1475136,8,2216185,96,0,0,3948,1,53016,1,4329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,0,0,0,0,0,0
13,8027000,4055,9570,35.728176,,0,8,8,96,47031,1253,2535,7979969,18,140,80,1,26523,1,160,1,1936378,1,2495905,1,427063,1,87535,1,2995172,1,11152,1,408255,1,7525,4,274047,4,65461,4,734798,4,1463513,8,2195775,96,0,0,3016,1,34689,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,0,0,0,0,0,0
14,8196200,4060,9570,35.688324,,0,8,8,96,57333,1353,2405,8138867,18,140,140,1,25210,1,90,1,1917861,1,2380044,1,427163,1,114719,1,3262827,1,10812,1,437123,1,10671,4,368496,4,70651,4,800719,4,1543513,8,2341827,96,0,0,3046,1,24709,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,0,0,0,0,0,0
15,8289000,4057,9570,35.64575,,0,8,8,96,44142,1293,2245,8244858,18,140,100,1,40010,1,150,1,2351086,1,2386667,1,427223,1,103787,1,2924972,1,10862,1,371091,1,8397,4,275310,4,66343,4,736441,4,1441409,8,2175605,96,0,0,2886,1,19208,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,0,0,0,0,0,0
16,7673700,4055,9570,35.600445,,0,8,8,96,43460,992,2235,7630240,18,140,10,1,25411,1,40,1,1919935,1,2331056,1,426993,1,87475,1,2828580,1,10741,1,293426,1,7575,4,262414,4,65170,4,728014,4,1447882,8,2173661,96,0,0,2866,1,17735,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,0,0,0,0,0,0
17,7632100,4051,9570,35.552414,,0,8,8,96,42350,962,2135,7589750,18,140,60,1,24769,1,40,1,1914464,1,2316557,1,427113,1,85952,1,2810133,1,10661,1,277915,1,7355,4,264418,4,66132,4,729918,4,1439766,8,2167549,96,0,0,2806,1,18407,1,2455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,0,0,0,0,0,0
18,7652900,4049,9570,35.501663,,0,8,8,96,43391,1042,2235,7609509,18,140,10,1,24699,1,40,1,1922390,1,2301116,1,427013,1,84198,1,2839251,1,10792,1,283366,1,7345,4,263847,4,65190,4,738555,4,1455577,8,2191898,96,0,0,2926,1,18868,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,0,0,0,0,0,0
19,7660200,4050,9570,35.448185,,0,8,8,96,44909,1052,2265,7615291,18,140,10,1,24940,1,30,1,1926578,1,2299443,1,427033,1,82385,1,2843670,1,11202,1,278496,1,7675,4,269789,4,65691,4,733906,4,1454535,8,2186176,96,0,0,3277,1,26703,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,0,0,0,0,0,0
