step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
10,8001800,4053,9570,35.831387,,0,8,8,96,42011,2345,2225,7959789,18,140,40,1,25369,1,160,1,1958324,1,2320029,1,452921,1,84042,1,3106000,1,12905,1,272644,1,7304,4,479662,4,78290,4,758638,4,1469154,8,2225567,96,0,0,2735,1,32703,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0
11,8006000,4054,9570,35.79971,,0,8,8,96,45009,1613,2094,7960991,18,140,170,1,25329,1,140,1,1961660,1,2347382,1,452900,1,89091,1,3071183,1,13135,1,320336,1,7474,4,475915,4,65676,4,729342,4,1446991,8,2174239,96,0,0,2745,1,18566,1,2525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,0,0,0,0,0,0
12,7925200,4056,9570,35.765305,,0,8,8,96,42039,942,2144,7883161,18,140,70,1,25469,1,120,1,1958274,1,2322324,1,452981,1,83611,1,3027489,1,12825,1,278766,1,7555,4,475564,4,65396,4,733540,4,1442022,8,2173417,96,0,0,2625,1,18566,1,2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,0,0,0,0,0,0
13,7913700,4055,9570,35.728176,,0,8,8,96,44545,1323,2134,7869155,18,140,30,1,25810,1,20,1,1956260,1,2301313,1,452961,1,82408,1,3037618,1,12734,1,283375,1,7284,4,477618,4,65306,4,727909,4,1451780,8,2177555,96,0,0,2645,1,17874,1,2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,0,0,0,0,0,0
14,7944700,4060,9570,35.688324,,0,8,8,96,44015,1132,1994,7900685,18,140,80,1,25198,1,40,1,1974084,1,2294219,1,452971,1,82649,1,3058619,1,12825,1,295859,1,7504,4,478199,4,65676,4,737548,4,1448013,8,2183566,96,0,0,2775,1,19367,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,0,0,0,0,0,0
15,8288700,4057,9570,35.64575,,0,8,8,96,79141,1192,2155,8209559,18,140,140,1,26381,1,140,1,2295432,1,2280854,1,453031,1,84382,1,3056084,1,13115,1,276852,1,7665,4,475614,4,65616,4,745403,4,1456740,8,2199988,96,0,0,3407,1,21040,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,0,0,0,0,0,0
16,8373100,4055,9570,35.600445,,0,8,8,96,44993,1022,2314,8328107,18,140,240,1,33374,1,240,1,2391476,1,2305171,1,453011,1,84362,1,3046926,1,13306,1,282112,1,7234,4,476766,4,65977,4,735013,4,1447412,8,2180110,96,0,0,2825,1,26000,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,0,0,0,0,0,0
17,7935700,4051,9570,35.552414,,0,8,8,96,45485,1082,2075,7890215,18,140,60,1,25509,1,100,1,1960037,1,2313647,1,452931,1,84472,1,3040594,1,12865,1,286571,1,7585,4,477117,4,65756,4,729522,4,1447682,8,2175130,96,0,0,2805,1,19978,1,2495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,0,0,0,0,0,0
18,7950300,4049,9570,35.501663,,0,8,8,96,40728,1052,1934,7909572,18,140,451,1,25138,1,40,1,1959977,1,2330980,1,452991,1,83020,1,3043850,1,13125,1,295488,1,7504,4,476846,4,65676,4,729913,4,1444166,8,2172145,96,0,0,2635,1,18035,1,2535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,0,0,0,0,0,0
19,7951900,4050,9570,35.448185,,0,8,8,96,43440,942,2475,7908460,18,140,40,1,25239,1,20,1,1959506,1,2314809,1,452971,1,81266,1,3061123,1,13486,1,278074,1,7484,4,484561,4,65896,4,731456,4,1468593,8,2197573,96,0,0,2755,1,18816,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,0,0,0,0,0,0
