Frame, Manifolds, Points, Active Bodies, Top Y
152, 8456, 31033, 1240, 28.7777557
153, 8456, 31033, 1240, 28.7777557
154, 8456, 31033, 1240, 28.7777576
155, 8456, 31033, 1240, 28.7777576
156, 8456, 31033, 1240, 28.7777596
157, 8456, 31034, 1240, 28.7777615
158, 8456, 31034, 1240, 28.7777615
159, 8456, 31035, 1240, 28.7777634
160, 8456, 31035, 1240, 28.7777634
161, 8456, 31035, 1240, 28.7777653
162, 8456, 31035, 1240, 28.7777653
163, 8456, 31035, 1240, 28.7777653
164, 8456, 31035, 1240, 28.7777653
165, 8456, 31035, 1240, 28.7777653
166, 8456, 31035, 1240, 28.7777653
167, 8456, 31035, 1240, 28.7777653
168, 8456, 31035, 1240, 28.7777653
169, 8456, 31035, 1240, 28.7777653
170, 8456, 31035, 1240, 28.7777653
171, 8456, 31035, 1240, 28.7777653
172, 8456, 31035, 1240, 28.7777653
173, 8456, 31035, 1240, 28.7777653
174, 8456, 31035, 1240, 28.7777653
175, 8456, 31035, 1240, 28.7777653
176, 8456, 31035, 1240, 28.7777653
177, 8456, 31035, 1240, 28.7777653
178, 8456, 31035, 1240, 28.7777653
179, 8456, 31035, 1240, 28.7777653
180, 8456, 31035, 1240, 28.7777653
181, 8456, 31035, 1240, 28.7777653
182, 8456, 31035, 1240, 28.7777653
183, 8456, 31035, 1240, 28.7777653
184, 8456, 31035, 1240, 28.7777653
185, 8456, 31035, 1240, 28.7777653
186, 8456, 31035, 1240, 28.7777653
187, 8456, 31035, 1240, 28.7777653
188, 8456, 31035, 1240, 28.7777653
189, 8456, 31035, 1240, 28.7777653
190, 8456, 31035, 1240, 28.7777653
191, 8456, 31035, 1240, 28.7777653
192, 8456, 31035, 1240, 28.7777653
193, 8456, 31035, 1240, 28.7777653
194, 8456, 31035, 1240, 28.7777653
195, 8456, 31035, 1240, 28.7777653
196, 8456, 31035, 1240, 28.7777653
197, 8456, 31035, 1240, 28.7777653
198, 8456, 31035, 1240, 28.7777653
199, 8456, 31035, 1240, 28.7777653
200, 8456, 31035, 1240, 28.7777653
201, 8456, 31035, 1240, 28.7777653
202, 8456, 31035, 1240, 28.7777653
203, 8456, 31035, 1240, 28.7777653
204, 8456, 31035, 1240, 28.7777653
205, 8456, 31035, 1240, 28.7777653
206, 8456, 31035, 1240, 28.7777653
207, 8456, 31035, 1240, 28.7777653
208, 8456, 31035, 1240, 28.7777653
209, 8456, 31035, 1240, 28.7777653
210, 8456, 31035, 1240, 28.7777653
211, 8456, 31035, 1240, 28.7777653
212, 8456, 31035, 1240, 28.7777653
213, 8456, 31035, 1240, 28.7777653
214, 8456, 31035, 1240, 28.7777653
215, 8456, 31035, 1240, 28.7777653
216, 8456, 31035, 1240, 28.7777653
217, 8456, 31035, 1240, 28.7777653
218, 8456, 31035, 1240, 28.7777653
219, 8456, 31035, 1240, 28.7777653
220, 8456, 31035, 1240, 28.7777653
221, 8456, 31035, 1240, 28.7777653
222, 8456, 31035, 1240, 28.7777653
223, 8456, 31035, 1240, 28.7777653
224, 8456, 31035, 1240, 28.7777653
225, 8456, 31035, 1240, 28.7777653
226, 8456, 31035, 1240, 28.7777653
227, 8456, 31035, 1240, 28.7777653
228, 8456, 31035, 1240, 28.7777653
229, 8456, 31035, 1240, 28.7777653
230, 8456, 31035, 1240, 28.7777653
231, 8456, 31035, 1240, 28.7777653
232, 8456, 31035, 1240, 28.7777653
233, 8456, 31035, 1240, 28.7777653
234, 8456, 31035, 1240, 28.7777653
235, 8456, 31035, 1240, 28.7777653
236, 8456, 31035, 1240, 28.7777653
237, 8456, 31035, 1240, 28.7777653
238, 8456, 31035, 1240, 28.7777653
239, 8456, 31035, 1240, 28.7777653
240, 8456, 31035, 1240, 28.7777653
241, 8456, 31035, 1240, 28.7777653
242, 8456, 31035, 1240, 28.7777653
243, 8456, 31035, 1240, 28.7777653
244, 8456, 31035, 1240, 28.7777653
245, 8456, 31035, 1240, 28.7777653
246, 8456, 31035, 1240, 28.7777653
247, 8456, 31035, 1240, 28.7777653
248, 8456, 31035, 1240, 28.7777653
249, 8456, 31035, 1240, 28.7777653
250, 8456, 31035, 1240, 28.7777653
251, 8456, 31035, 1240, 28.7777653
252, 8456, 31035, 1240, 28.7777653
253, 8456, 31035, 1240, 28.7777653
254, 8456, 31035, 1240, 28.7777653
255, 8456, 31035, 1240, 28.7777653
256, 8456, 31035, 1240, 28.7777653
257, 8456, 31035, 1240, 28.7777653
258, 8456, 31035, 1240, 28.7777653
259, 8456, 31035, 1240, 28.7777653
260, 8456, 31035, 1240, 28.7777653
261, 8456, 31035, 1240, 28.7777653
262, 8456, 31035, 1240, 28.7777653
263, 8456, 31035, 1240, 28.7777653
264, 8456, 31035, 1240, 28.7777653
265, 8456, 31035, 1240, 28.7777653
266, 8456, 31035, 1240, 28.7777653
267, 8456, 31035, 1240, 28.7777653
268, 8456, 31035, 1240, 28.7777653
269, 8456, 31035, 1240, 28.7777653
270, 8456, 31035, 1240, 28.7777653
271, 8456, 31035, 1240, 28.7777653
272, 8456, 31035, 1240, 28.7777653
273, 8456, 31035, 1240, 28.7777653
274, 8456, 31035, 1240, 28.7777653
275, 8456, 31035, 1240, 28.7777653
276, 8456, 31035, 1240, 28.7777653
277, 8456, 31035, 1240, 28.7777653
278, 8456, 31035, 1240, 28.7777653
279, 8456, 31035, 1240, 28.7777653
280, 8456, 31035, 1240, 28.7777653
281, 8456, 31035, 1240, 28.7777653
282, 8456, 31035, 1240, 28.7777653
283, 8456, 31035, 1240, 28.7777653
284, 8456, 31035, 1240, 28.7777653
285, 8456, 31035, 1240, 28.7777653
286, 8456, 31035, 1240, 28.7777653
287, 8456, 31035, 1240, 28.7777653
288, 8456, 31035, 1240, 28.7777653
289, 8456, 31035, 1240, 28.7777653
290, 8456, 31035, 1240, 28.7777653
291, 8456, 31035, 1240, 28.7777653
292, 8456, 31035, 1240, 28.7777653
293, 8456, 31035, 1240, 28.7777653
294, 8456, 31035, 1240, 28.7777653
295, 8456, 31035, 1240, 28.7777653
296, 8456, 31035, 1240, 28.7777653
297, 8456, 31035, 1240, 28.7777653
298, 8456, 31035, 1240, 28.7777653
299, 8456, 31035, 1240, 28.7777653
300, 8456, 31035, 1240, 28.7777653
301, 8456, 31035, 1240, 28.7777653
302, 8456, 31035, 1240, 28.7777653
303, 8456, 31035, 1240, 28.7777653
304, 8456, 31035, 1240, 28.7777653
305, 8456, 31035, 1240, 28.7777653
306, 8456, 31035, 1240, 28.7777653
307, 8456, 31035, 1240, 28.7777653
308, 8456, 31035, 1240, 28.7777653
309, 8456, 31035, 1240, 28.7777653
310, 8456, 31035, 1240, 28.7777653
311, 8456, 31035, 1240, 28.7777653
312, 8456, 31035, 1240, 28.7777653
313, 8456, 31035, 1240, 28.7777653
314, 8456, 31035, 1240, 28.7777653
315, 8456, 31035, 1240, 28.7777653
316, 8456, 31035, 1240, 28.7777653
317, 8456, 31035, 1240, 28.7777653
318, 8456, 31035, 1240, 28.7777653
319, 8456, 31035, 1240, 28.7777653
320, 8456, 31035, 1240, 28.7777653
321, 8456, 31035, 1240, 28.7777653
322, 8456, 31035, 1240, 28.7777653
323, 8456, 31035, 1240, 28.7777653
324, 8456, 31035, 1240, 28.7777653
325, 8456, 31035, 1240, 28.7777653
326, 8456, 31035, 1240, 28.7777653
327, 8456, 31035, 1240, 28.7777653
328, 8456, 31035, 1240, 28.7777653
329, 8456, 31035, 1240, 28.7777653
330, 8456, 31035, 1240, 28.7777653
331, 8456, 31035, 1240, 28.7777653
332, 8456, 31035, 1240, 28.7777653
333, 8456, 31035, 1240, 28.7777653
334, 8456, 31035, 1240, 28.7777653
335, 8456, 31035, 1240, 28.7777653
336, 8456, 31035, 1240, 28.7777653
337, 8456, 31035, 1240, 28.7777653
338, 8456, 31035, 1240, 28.7777653
339, 8456, 31035, 1240, 28.7777653
340, 8456, 31035, 1240, 28.7777653
341, 8456, 31035, 1240, 28.7777653
342, 8456, 31035, 1240, 28.7777653
343, 8456, 31035, 1240, 28.7777653
344, 8456, 31035, 1240, 28.7777653
345, 8456, 31035, 1240, 28.7777653
346, 8456, 31035, 1240, 28.7777653
347, 8456, 31035, 1240, 28.7777653
348, 8456, 31035, 1240, 28.7777653
349, 8456, 31035, 1240, 28.7777653
350, 8456, 31035, 1240, 28.7777653
351, 8456, 31035, 1240, 28.7777653
352, 8456, 31035, 1240, 28.7777653
353, 8456, 31035, 1240, 28.7777653
354, 8456, 31035, 1240, 28.7777653
355, 8456, 31035, 1240, 28.7777653
356, 8456, 31035, 1240, 28.7777653
357, 8456, 31035, 1240, 28.7777653
358, 8456, 31035, 1240, 28.7777653
359, 8456, 31035, 1240, 28.7777653
360, 8456, 31035, 1240, 28.7777653
361, 8456, 31035, 1240, 28.7777653
362, 8456, 31035, 1240, 28.7777653
363, 8456, 31035, 1240, 28.7777653
364, 8456, 31035, 1240, 28.7777653
365, 8456, 31035, 1240, 28.7777653
366, 8456, 31035, 1240, 28.7777653
367, 8456, 31035, 1240, 28.7777653
368, 8456, 31035, 1240, 28.7777653
369, 8456, 31035, 1240, 28.7777653
370, 8456, 31035, 1240, 28.7777653
371, 8456, 31035, 1240, 28.7777653
372, 8456, 31035, 1240, 28.7777653
373, 8456, 31035, 1240, 28.7777653
374, 8456, 31035, 1240, 28.7777653
375, 8456, 31035, 1240, 28.7777653
376, 8456, 31035, 1240, 28.7777653
377, 8456, 31035, 1240, 28.7777653
378, 8456, 31035, 1240, 28.7777653
379, 8456, 31035, 1240, 28.7777653
380, 8456, 31035, 1240, 28.7777653
381, 8456, 31035, 1240, 28.7777653
382, 8456, 31035, 1240, 28.7777653
383, 8456, 31035, 1240, 28.7777653
384, 8456, 31035, 1240, 28.7777653
385, 8456, 31035, 1240, 28.7777653
386, 8456, 31035, 1240, 28.7777653
387, 8456, 31035, 1240, 28.7777653
388, 8456, 31035, 1240, 28.7777653
389, 8456, 31035, 1240, 28.7777653
390, 8456, 31035, 1240, 28.7777653
391, 8456, 31035, 1240, 28.7777653
