step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
11,14633400,6806,9570,28.99352,1240,0,16,14,168,48127,1704,6974,14585273,16,239,220,1,28557,1,110,1,1888348,1,3941052,1,187251,1,8525818,1,13918,1,1553345,1,7665,4,851786,4,66852,4,1882226,4,3701898,8,5513034,168,64117,24,8427,1,436063,1,4018,1,4669,1,1463,2,5701,1,0,0,0,0,0,0,22716,1,263,1,9570,1,6806,1,22979,1,9570,1,0,1
12,14929600,6806,9570,28.993486,1240,0,16,14,168,87709,1854,6022,14841891,16,239,110,1,27585,1,10,1,1891845,1,3789211,1,221929,1,8876111,1,35089,1,1565679,1,8998,4,867237,4,71321,4,1920873,4,3721557,8,5570327,168,66081,24,8797,1,689415,1,7014,1,4930,1,1553,2,6884,1,0,0,0,0,0,0,22744,1,264,1,9570,1,6806,1,23008,1,9570,1,0,1
13,16106400,6780,9570,28.993422,1240,0,16,14,168,64363,3858,8617,16042037,16,239,180,1,72804,1,751,1,2291496,1,4002914,1,204976,1,9454526,1,14388,1,2488957,1,8196,4,881295,4,66642,4,1877146,4,3722770,8,5523875,168,67423,24,8908,1,378880,1,5461,1,4679,1,1913,2,5822,1,0,0,0,0,0,0,22736,1,253,1,9570,1,6780,1,22989,1,9570,1,0,1
14,15288700,6784,9570,28.99337,1240,0,16,14,168,55293,1994,6954,15233407,16,239,80,1,28987,1,120,1,1897146,1,3859500,1,420543,1,9012041,1,14990,1,1680296,1,8397,4,890413,4,85479,4,1942836,4,3723160,8,5593603,168,65440,24,11092,1,644827,1,8116,1,7976,1,1623,2,5832,1,0,0,0,0,0,0,22775,1,271,1,9570,1,6784,1,23046,1,9570,1,0,1
15,16771900,6765,9570,28.993326,1240,0,16,14,168,60317,3036,7174,16711583,16,239,501,1,42244,1,190,1,2364401,1,4244693,1,296236,1,9745853,1,17465,1,2746096,1,8246,4,864391,4,68456,4,1876525,4,3671578,8,5483034,168,57895,24,8427,1,482225,1,3467,1,6683,1,1663,2,5060,1,0,0,0,0,0,0,22775,1,254,1,9570,1,6765,1,23029,1,9570,1,0,1
16,16655200,6760,9570,28.993288,1240,0,16,14,168,90077,2394,6684,16565123,16,239,721,1,43005,1,130,1,2591370,1,3846184,1,232470,1,9828346,1,22895,1,1920151,1,10882,4,950251,4,67053,4,1929520,4,3727509,8,5592270,168,58075,24,50600,1,1139315,1,16012,1,5230,1,2225,2,7204,1,0,0,0,0,0,0,22734,1,256,1,9570,1,6760,1,22990,1,9570,1,0,1
17,17228100,6761,9570,28.993235,1240,0,16,14,168,83550,2535,6653,17144550,16,239,551,1,34067,1,641,1,2288420,1,4322357,1,617142,1,9863536,1,17835,1,2924630,1,8477,4,867888,4,69237,4,1891284,4,3635317,8,5462373,168,57574,24,8607,1,433418,1,3567,1,11513,1,1733,2,5331,1,0,0,0,0,0,0,22757,1,248,1,9570,1,6761,1,23005,1,9570,1,0,1
18,17570500,6734,9570,28.99321,1240,0,16,14,168,90376,3948,6924,17480124,16,239,321,1,37935,1,150,1,2202059,1,4546160,1,185076,1,10480858,1,27565,1,2770935,1,11242,4,862137,4,70169,4,1891184,4,3700335,8,5526230,168,58366,24,82834,1,1056772,1,12204,1,4709,1,1884,2,12505,1,0,0,0,0,0,0,22736,1,249,1,9570,1,6734,1,22985,1,9570,1,0,1
19,16998900,6754,9570,28.99318,1240,0,16,14,168,82442,2505,7164,16916458,16,239,441,1,75810,1,271,1,2841265,1,4146138,1,296447,1,9541849,1,14238,1,2662892,1,7565,4,864802,4,68425,4,1870182,4,3630447,8,5435641,168,57824,24,8527,1,409280,1,3216,1,6623,1,1774,2,5611,1,0,0,0,0,0,0,22779,1,242,1,9570,1,6754,1,23021,1,9570,1,0,1
20,14935200,6753,9570,28.99314,1240,0,16,14,168,72077,2535,6914,14863123,16,239,160,1,26272,1,190,1,1929450,1,3810093,1,184074,1,8898035,1,14849,1,1526141,1,7575,4,856195,4,72624,4,1941714,4,3723361,8,5601018,168,57143,24,12104,1,734554,1,7545,1,4208,1,1573,2,7906,1,0,0,0,0,0,0,22809,1,233,1,9570,1,6753,1,23042,1,9570,1,0,1
