step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n
13,83900,16,31,30.937513,,0,2,0,0,16659,381,461,67241,16,67,50,1,591,1,60,1,491,1,10921,1,641,1,54226,1,261,1,3447,1,200,4,2976,4,1002,4,15430,4,30039,8,0,0,45008,24,50,1,631,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
14,88700,16,31,30.937351,,0,2,0,0,18463,401,531,70237,16,62,10,1,571,1,20,1,421,1,13476,1,761,1,54637,1,341,1,3547,1,180,4,2936,4,1022,4,15560,4,30129,8,0,0,45158,24,50,1,741,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
15,84800,16,31,30.937284,,0,2,0,0,16867,431,471,67933,16,67,10,1,631,1,20,1,441,1,11543,1,701,1,54266,1,321,1,3447,1,190,4,2996,4,1012,4,15420,4,30009,8,0,0,44958,24,50,1,631,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
16,84600,16,31,30.937271,,0,2,0,0,18441,421,431,66159,16,67,60,1,551,1,30,1,441,1,10721,1,641,1,53464,1,250,1,2956,1,170,4,2996,4,982,4,15430,4,29938,8,0,0,44937,24,50,1,461,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
17,84700,16,31,30.93684,,0,2,0,0,15285,401,571,69415,16,62,50,1,551,1,20,1,461,1,12314,1,782,1,54847,1,391,1,3607,1,261,4,3006,4,1082,4,15610,4,30218,8,0,0,45258,24,50,1,521,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
18,80200,16,31,30.93567,,0,2,0,0,12768,381,491,67432,16,67,10,1,651,1,10,1,441,1,10801,1,621,1,54637,1,261,1,3397,1,180,4,2986,4,982,4,15610,4,30309,8,0,0,45429,24,40,1,691,1,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
19,102100,16,31,30.934578,,0,2,0,0,16262,1904,661,85838,16,62,10,1,531,1,20,1,461,1,11462,1,721,1,72281,1,351,1,3447,1,311,4,4278,4,1533,4,19338,4,40399,8,0,0,59075,24,80,1,872,1,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
20,103100,16,31,30.933569,,0,2,0,0,15900,481,2194,87200,16,67,10,1,741,1,60,1,601,1,12905,1,862,1,71750,1,271,1,4890,1,271,4,4839,4,1473,4,20821,4,37894,8,0,0,56520,24,70,1,942,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
21,117500,16,31,30.93225,,0,2,0,0,17585,631,751,99915,16,64,10,1,731,1,20,1,1062,1,15500,1,972,1,81269,1,351,1,5761,1,341,4,5561,4,1723,4,22364,4,43775,8,0,0,65388,24,90,1,922,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
22,100700,16,31,30.930666,,0,2,0,0,15714,451,631,84986,16,67,10,1,701,1,60,1,621,1,12845,1,852,1,69646,1,250,1,4689,1,291,4,4829,4,1533,4,19117,4,37724,8,0,0,56210,24,70,1,862,1,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,31,1,16,1,64,1,31,1,0,1
