Frame, Manifolds, Points, Active Bodies, Top Y
132, 8489, 31109, 1240, 28.7772141
133, 8489, 31109, 1240, 28.7772198
134, 8489, 31109, 1240, 28.7772217
135, 8489, 31109, 1240, 28.7772236
136, 8489, 31110, 1240, 28.7772274
137, 8489, 31110, 1240, 28.7772293
138, 8489, 31110, 1240, 28.7772312
139, 8489, 31112, 1240, 28.7772331
140, 8489, 31112, 1240, 28.7772331
141, 8489, 31112, 1240, 28.777235
142, 8489, 31112, 1240, 28.7772369
143, 8489, 31112, 1240, 28.7772369
144, 8489, 31112, 1240, 28.7772388
145, 8489, 31112, 1240, 28.7772408
146, 8489, 31112, 1240, 28.7772408
147, 8489, 31112, 1240, 28.7772427
148, 8489, 31112, 1240, 28.7772446
149, 8489, 31112, 1240, 28.7772446
150, 8489, 31112, 1240, 28.7772465
151, 8489, 31112, 1240, 28.7772484
152, 8489, 31112, 1240, 28.7772484
153, 8489, 31112, 1240, 28.7772503
154, 8489, 31112, 1240, 28.7772522
155, 8489, 31112, 1240, 28.7772522
156, 8489, 31112, 1240, 28.7772522
157, 8489, 31112, 1240, 28.7772541
158, 8489, 31112, 1240, 28.7772541
159, 8489, 31112, 1240, 28.7772541
160, 8489, 31112, 1240, 28.7772541
161, 8489, 31112, 1240, 28.7772541
162, 8489, 31112, 1240, 28.7772541
163, 8489, 31112, 1240, 28.7772541
164, 8489, 31112, 1240, 28.7772541
165, 8489, 31112, 1240, 28.7772541
166, 8489, 31112, 1240, 28.7772541
167, 8489, 31112, 1240, 28.7772541
168, 8489, 31112, 1240, 28.7772541
169, 8489, 31112, 1240, 28.7772541
170, 8489, 31112, 1240, 28.7772541
171, 8489, 31112, 1240, 28.7772541
172, 8489, 31112, 1240, 28.7772541
173, 8489, 31112, 1240, 28.7772541
174, 8489, 31112, 1240, 28.7772541
175, 8489, 31112, 1240, 28.7772541
176, 8489, 31112, 1240, 28.7772541
177, 8489, 31112, 1240, 28.7772541
178, 8489, 31112, 1240, 28.7772541
179, 8489, 31112, 1240, 28.7772541
180, 8489, 31112, 1240, 28.7772541
181, 8489, 31112, 1240, 28.7772541
182, 8489, 31112, 1240, 28.7772541
183, 8489, 31112, 1240, 28.7772541
184, 8489, 31112, 1240, 28.7772541
185, 8489, 31112, 1240, 28.7772541
186, 8489, 31112, 1240, 28.7772541
187, 8489, 31112, 1240, 28.7772541
188, 8489, 31112, 1240, 28.7772541
189, 8489, 31112, 1240, 28.7772541
190, 8489, 31112, 1240, 28.7772541
191, 8489, 31112, 1240, 28.7772541
192, 8489, 31112, 1240, 28.7772541
193, 8489, 31112, 1240, 28.7772541
194, 8489, 31112, 1240, 28.7772541
195, 8489, 31112, 1240, 28.7772541
196, 8489, 31112, 1240, 28.7772541
197, 8489, 31112, 1240, 28.7772541
198, 8489, 31112, 1240, 28.7772541
199, 8489, 31112, 1240, 28.7772541
200, 8489, 31112, 1240, 28.7772541
201, 8489, 31112, 1240, 28.7772541
202, 8489, 31112, 1240, 28.7772541
203, 8489, 31112, 1240, 28.7772541
204, 8489, 31112, 1240, 28.7772541
205, 8489, 31112, 1240, 28.7772541
206, 8489, 31112, 1240, 28.7772541
207, 8489, 31112, 1240, 28.7772541
208, 8489, 31112, 1240, 28.7772541
209, 8489, 31112, 1240, 28.7772541
210, 8489, 31112, 1240, 28.7772541
211, 8489, 31112, 1240, 28.7772541
212, 8489, 31112, 1240, 28.7772541
213, 8489, 31112, 1240, 28.7772541
214, 8489, 31112, 1240, 28.7772541
215, 8489, 31112, 1240, 28.7772541
216, 8489, 31112, 1240, 28.7772541
217, 8489, 31112, 1240, 28.7772541
218, 8489, 31112, 1240, 28.7772541
219, 8489, 31112, 1240, 28.7772541
220, 8489, 31112, 1240, 28.7772541
221, 8489, 31112, 1240, 28.7772541
222, 8489, 31112, 1240, 28.7772541
223, 8489, 31112, 1240, 28.7772541
224, 8489, 31112, 1240, 28.7772541
225, 8489, 31112, 1240, 28.7772541
226, 8489, 31112, 1240, 28.7772541
227, 8489, 31112, 1240, 28.7772541
228, 8489, 31112, 1240, 28.7772541
229, 8489, 31112, 1240, 28.7772541
230, 8489, 31112, 1240, 28.7772541
231, 8489, 31112, 1240, 28.7772541
232, 8489, 31112, 1240, 28.7772541
233, 8489, 31112, 1240, 28.7772541
234, 8489, 31112, 1240, 28.7772541
235, 8489, 31112, 1240, 28.7772541
236, 8489, 31112, 1240, 28.7772541
237, 8489, 31112, 1240, 28.7772541
238, 8489, 31112, 1240, 28.7772541
239, 8489, 31112, 1240, 28.7772541
240, 8489, 31112, 1240, 28.7772541
241, 8489, 31112, 1240, 28.7772541
242, 8489, 31112, 1240, 28.7772541
243, 8489, 31112, 1240, 28.7772541
244, 8489, 31112, 1240, 28.7772541
245, 8489, 31112, 1240, 28.7772541
246, 8489, 31112, 1240, 28.7772541
247, 8489, 31112, 1240, 28.7772541
248, 8489, 31112, 1240, 28.7772541
249, 8489, 31112, 1240, 28.7772541
250, 8489, 31112, 1240, 28.7772541
251, 8489, 31112, 1240, 28.7772541
252, 8489, 31112, 1240, 28.7772541
253, 8489, 31112, 1240, 28.7772541
254, 8489, 31112, 1240, 28.7772541
255, 8489, 31112, 1240, 28.7772541
256, 8489, 31112, 1240, 28.7772541
257, 8489, 31112, 1240, 28.7772541
258, 8489, 31112, 1240, 28.7772541
259, 8489, 31112, 1240, 28.7772541
260, 8489, 31112, 1240, 28.7772541
261, 8489, 31112, 1240, 28.7772541
262, 8489, 31112, 1240, 28.7772541
263, 8489, 31112, 1240, 28.7772541
264, 8489, 31112, 1240, 28.7772541
265, 8489, 31112, 1240, 28.7772541
266, 8489, 31112, 1240, 28.7772541
267, 8489, 31112, 1240, 28.7772541
268, 8489, 31112, 1240, 28.7772541
269, 8489, 31112, 1240, 28.7772541
270, 8489, 31112, 1240, 28.7772541
271, 8489, 31112, 1240, 28.7772541
272, 8489, 31112, 1240, 28.7772541
273, 8489, 31112, 1240, 28.7772541
274, 8489, 31112, 1240, 28.7772541
275, 8489, 31112, 1240, 28.7772541
276, 8489, 31112, 1240, 28.7772541
277, 8489, 31112, 1240, 28.7772541
278, 8489, 31112, 1240, 28.7772541
279, 8489, 31112, 1240, 28.7772541
280, 8489, 31112, 1240, 28.7772541
281, 8489, 31112, 1240, 28.7772541
282, 8489, 31112, 1240, 28.7772541
283, 8489, 31112, 1240, 28.7772541
284, 8489, 31112, 1240, 28.7772541
285, 8489, 31112, 1240, 28.7772541
286, 8489, 31112, 1240, 28.7772541
287, 8489, 31112, 1240, 28.7772541
288, 8489, 31112, 1240, 28.7772541
289, 8489, 31112, 1240, 28.7772541
290, 8489, 31112, 1240, 28.7772541
291, 8489, 31112, 1240, 28.7772541
292, 8489, 31112, 1240, 28.7772541
293, 8489, 31112, 1240, 28.7772541
294, 8489, 31112, 1240, 28.7772541
295, 8489, 31112, 1240, 28.7772541
296, 8489, 31112, 1240, 28.7772541
297, 8489, 31112, 1240, 28.7772541
298, 8489, 31112, 1240, 28.7772541
299, 8489, 31112, 1240, 28.7772541
300, 8489, 31112, 1240, 28.7772541
301, 8489, 31112, 1240, 28.7772541
302, 8489, 31112, 1240, 28.7772541
303, 8489, 31112, 1240, 28.7772541
304, 8489, 31112, 1240, 28.7772541
305, 8489, 31112, 1240, 28.7772541
306, 8489, 31112, 1240, 28.7772541
307, 8489, 31112, 1240, 28.7772541
308, 8489, 31112, 1240, 28.7772541
309, 8489, 31112, 1240, 28.7772541
310, 8489, 31112, 1240, 28.7772541
311, 8489, 31112, 1240, 28.7772541
312, 8489, 31112, 1240, 28.7772541
313, 8489, 31112, 1240, 28.7772541
314, 8489, 31112, 1240, 28.7772541
315, 8489, 31112, 1240, 28.7772541
316, 8489, 31112, 1240, 28.7772541
317, 8489, 31112, 1240, 28.7772541
318, 8489, 31112, 1240, 28.7772541
319, 8489, 31112, 1240, 28.7772541
320, 8489, 31112, 1240, 28.7772541
321, 8489, 31112, 1240, 28.7772541
322, 8489, 31112, 1240, 28.7772541
323, 8489, 31112, 1240, 28.7772541
324, 8489, 31112, 1240, 28.7772541
325, 8489, 31112, 1240, 28.7772541
326, 8489, 31112, 1240, 28.7772541
327, 8489, 31112, 1240, 28.7772541
328, 8489, 31112, 1240, 28.7772541
329, 8489, 31112, 1240, 28.7772541
330, 8489, 31112, 1240, 28.7772541
331, 8489, 31112, 1240, 28.7772541
332, 8489, 31112, 1240, 28.7772541
333, 8489, 31112, 1240, 28.7772541
334, 8489, 31112, 1240, 28.7772541
335, 8489, 31112, 1240, 28.7772541
336, 8489, 31112, 1240, 28.7772541
337, 8489, 31112, 1240, 28.7772541
338, 8489, 31112, 1240, 28.7772541
339, 8489, 31112, 1240, 28.7772541
340, 8489, 31112, 1240, 28.7772541
341, 8489, 31112, 1240, 28.7772541
342, 8489, 31112, 1240, 28.7772541
343, 8489, 31112, 1240, 28.7772541
344, 8489, 31112, 1240, 28.7772541
345, 8489, 31112, 1240, 28.7772541
346, 8489, 31112, 1240, 28.7772541
347, 8489, 31112, 1240, 28.7772541
348, 8489, 31112, 1240, 28.7772541
349, 8489, 31112, 1240, 28.7772541
350, 8489, 31112, 1240, 28.7772541
351, 8489, 31112, 1240, 28.7772541
352, 8489, 31112, 1240, 28.7772541
353, 8489, 31112, 1240, 28.7772541
354, 8489, 31112, 1240, 28.7772541
355, 8489, 31112, 1240, 28.7772541
356, 8489, 31112, 1240, 28.7772541
357, 8489, 31112, 1240, 28.7772541
358, 8489, 31112, 1240, 28.7772541
359, 8489, 31112, 1240, 28.7772541
360, 8489, 31112, 1240, 28.7772541
361, 8489, 31112, 1240, 28.7772541
362, 8489, 31112, 1240, 28.7772541
363, 8489, 31112, 1240, 28.7772541
364, 8489, 31112, 1240, 28.7772541
365, 8489, 31112, 1240, 28.7772541
366, 8489, 31112, 1240, 28.7772541
367, 8489, 31112, 1240, 28.7772541
368, 8489, 31112, 1240, 28.7772541
369, 8489, 31112, 1240, 28.7772541
370, 8489, 31112, 1240, 28.7772541
371, 8489, 31112, 1240, 28.7772541
372, 8489, 31112, 1240, 28.7772541
373, 8489, 31112, 1240, 28.7772541
374, 8489, 31112, 1240, 28.7772541
375, 8489, 31112, 1240, 28.7772541
376, 8489, 31112, 1240, 28.7772541
377, 8489, 31112, 1240, 28.7772541
378, 8489, 31112, 1240, 28.7772541
379, 8489, 31112, 1240, 28.7772541
380, 8489, 31112, 1240, 28.7772541
381, 8489, 31112, 1240, 28.7772541
382, 8489, 31112, 1240, 28.7772541
383, 8489, 31112, 1240, 28.7772541
384, 8489, 31112, 1240, 28.7772541
385, 8489, 31112, 1240, 28.7772541
386, 8489, 31112, 1240, 28.7772541
387, 8489, 31112, 1240, 28.7772541
388, 8489, 31112, 1240, 28.7772541
389, 8489, 31112, 1240, 28.7772541
390, 8489, 31112, 1240, 28.7772541
