step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
10,16069300,4053,9570,35.831387,1240,0,8,8,96,42615,1683,2736,16026685,16,146,110,1,28064,1,230,1,1934821,1,2035475,1,85965,1,11928042,1,13977,1,346356,1,7675,4,480214,4,68001,4,3695969,4,7271305,8,10964538,96,0,0,3817,1,39095,1,3306,1,4058,1,1353,2,5210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,0,1,0,0,0,0,0,0,0,1,5506,1,4064,1
11,16014300,4054,9570,35.79971,1240,0,8,8,96,40447,1262,2334,15973853,16,146,70,1,28375,1,220,1,1916366,1,1995989,1,84993,1,11934714,1,13125,1,378979,1,8657,4,476927,4,65466,4,3695668,4,7264652,8,10957986,96,0,0,3216,1,25890,1,2715,1,4929,1,1292,2,5060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,0,1,0,0,0,0,0,0,0,1,5510,1,4060,1
12,15905900,4056,9570,35.765305,1240,0,8,8,96,42790,1292,3016,15863110,16,146,50,1,27032,1,70,1,1943067,1,1903140,1,86346,1,11890139,1,13266,1,308784,1,8777,4,497777,4,66608,4,3692732,4,7261997,8,10951714,96,0,0,3647,1,34376,1,2956,1,4358,1,1272,2,5561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,0,1,0,0,0,0,0,0,0,1,5509,1,4061,1
13,15971600,4055,9570,35.728176,1240,0,8,8,96,38726,1353,2696,15932874,16,146,160,1,27473,1,160,1,1933900,1,1935112,1,85575,1,11936678,1,13817,1,351847,1,8997,4,480073,4,65736,4,3704605,4,7272928,8,10974837,96,0,0,2755,1,35278,1,2735,1,3938,1,1413,2,5020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,0,1,0,0,0,0,0,0,0,1,5510,1,4060,1
14,15976900,4060,9570,35.688324,1240,0,8,8,96,57181,1513,2505,15919719,16,146,291,1,30338,1,411,1,1931535,1,1956553,1,89382,1,11897663,1,13546,1,328241,1,8136,4,483550,4,65456,4,3696610,4,7268390,8,10962494,96,0,0,2886,1,29296,1,2825,1,4368,1,1343,2,5050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,0,1,0,0,0,0,0,0,0,1,5509,1,4061,1
15,16164200,4057,9570,35.64575,1240,0,8,8,96,46390,1693,2756,16117810,16,146,331,1,26902,1,230,1,1931074,1,1977002,1,85214,1,12082839,1,14217,1,402073,1,8677,4,479272,4,66688,4,3784699,4,7282667,8,11064611,96,0,0,3457,1,38815,1,3246,1,4759,1,1343,2,5450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,0,1,0,0,0,0,0,0,0,1,5508,1,4062,1
16,15946600,4055,9570,35.600445,1240,0,8,8,96,40016,1654,2495,15906584,16,146,281,1,27894,1,180,1,1932858,1,1969568,1,85655,1,11876963,1,13185,1,308002,1,7925,4,477428,4,65235,4,3703192,4,7267838,8,10968536,96,0,0,3407,1,28936,1,2815,1,4118,1,1422,2,4990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,0,1,0,0,0,0,0,0,0,1,5511,1,4059,1
17,15915700,4051,9570,35.552414,1240,0,8,8,96,60816,1222,2537,15854884,16,146,210,1,26982,1,100,1,1922748,1,1917147,1,85705,1,11882103,1,19888,1,309956,1,8206,4,478380,4,64985,4,3698473,4,7276555,8,10972492,96,0,0,4128,1,26902,1,2745,1,4038,1,1423,2,5090,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,0,1,0,0,0,0,0,0,0,1,5511,1,4059,1
18,15836200,4049,9570,35.501663,1240,0,8,8,96,45138,1884,2405,15791062,16,146,90,1,28004,1,110,1,1935913,1,1854267,1,83110,1,11876513,1,13055,1,297803,1,9518,4,476326,4,65546,4,3700708,4,7273329,8,10971632,96,0,0,2956,1,33775,1,3687,1,4479,1,1373,2,5130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,0,1,0,0,0,0,0,0,0,1,5517,1,4053,1
19,15878000,4050,9570,35.448185,1240,0,8,8,96,39247,1373,2455,15838753,16,146,250,1,27112,1,160,1,1935543,1,1899614,1,83711,1,11879148,1,13215,1,302602,1,7394,4,476376,4,65786,4,3704675,4,7272778,8,10974998,96,0,0,3547,1,31400,1,2845,1,3988,1,1303,2,5080,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,0,1,0,0,0,0,0,0,0,1,5519,1,4051,1
20,19312800,4829,9570,35.391983,1240,0,14,12,144,46795,1393,3527,19266005,16,218,230,1,26571,1,10,1,1928639,1,2200031,1,117496,1,14979180,1,13847,1,455336,1,9588,4,574114,4,73772,4,4651887,4,9136442,8,13668760,144,116043,24,3667,1,57230,1,4990,1,3857,1,1412,2,5491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,0,1,0,0,0,0,0,0,0,1,4736,1,4834,1
21,18376800,4715,9570,35.333054,1240,0,13,11,132,43088,1603,3637,18333712,16,206,250,1,27974,1,110,1,1937076,1,2513715,1,109430,1,13731891,1,13266,1,450647,1,7204,4,536542,4,65837,4,4273109,4,8338898,8,12528496,132,79874,24,4288,1,40308,1,2755,1,4228,1,1313,2,5160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,0,1,0,0,0,0,0,0,0,1,4361,1,5209,1
22,17739200,4565,9570,35.2714,1240,0,13,10,120,43415,1242,3197,17695785,16,206,60,1,27222,1,291,1,1943368,1,2326655,1,103018,1,13281765,1,13406,1,414207,1,7725,4,537694,4,66788,4,4120405,4,8079770,8,12023163,120,173814,36,4489,1,34657,1,3316,1,4148,1,1292,2,6032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,0,1,0,0,0,0,0,0,0,1,4678,1,4892,1
23,17463100,4496,9570,35.207024,1240,0,13,10,120,56912,1222,3217,17406188,16,206,60,1,26611,1,40,1,1922938,1,2239347,1,129719,1,13071000,1,16472,1,400991,1,7274,4,513387,4,65256,4,4065710,4,7965420,8,11869879,120,158034,36,2886,1,35749,1,2855,1,3918,1,1333,2,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,0,1,0,0,0,0,0,0,0,1,4859,1,4711,1
24,17155700,4419,9570,35.13992,1240,0,12,10,120,43177,1242,3397,17112523,16,194,90,1,31971,1,140,1,1925954,1,2161107,1,97878,1,12882046,1,13336,1,349382,1,7394,4,512606,4,65967,4,4013068,4,7881890,8,11821947,120,69614,24,3136,1,33575,1,2966,1,4248,1,1293,2,5280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,0,1,0,0,0,0,0,0,0,1,4975,1,4595,1
25,17204400,4390,9570,35.07009,1240,0,12,9,108,58342,1222,3297,17146058,16,194,90,1,26511,1,90,1,1932096,1,2176927,1,122185,1,12868530,1,19628,1,447861,1,7294,4,502266,4,64945,4,3987459,4,7810973,8,11564622,108,230513,36,2906,1,30208,1,3006,1,3968,1,1353,2,5070,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,0,1,0,0,0,0,0,0,0,1,5061,1,4509,1
26,17024600,4353,9570,34.997536,1240,0,12,9,108,43951,1243,3167,16980649,16,194,70,1,27773,1,140,1,1937717,1,2141479,1,95955,1,12764110,1,13406,1,354141,1,7444,4,505773,4,65245,4,3977690,4,7799762,8,11591744,108,182541,36,3376,1,35929,1,2795,1,3877,1,1362,2,5471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,0,1,0,0,0,0,0,0,0,1,5113,1,4457,1
27,16957700,4336,9570,34.92226,1240,0,12,9,108,41034,1343,3207,16916666,16,194,50,1,26601,1,160,1,1933369,1,2132852,1,98199,1,12711909,1,13526,1,339964,1,7024,4,502246,4,67350,4,3976608,4,7761738,8,11574921,108,160218,36,3046,1,38724,1,2936,1,3948,1,1363,2,5621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,0,1,0,0,0,0,0,0,0,1,5148,1,4422,1
28,19925200,4982,9570,34.844257,1240,0,14,11,132,46056,1623,4198,19879144,16,218,20,1,27443,1,30,1,1917137,1,2504517,1,123067,1,15293034,1,13897,1,532284,1,9047,4,585937,4,65957,4,4735728,4,9304105,8,13724997,132,310637,36,4048,1,40418,1,2845,1,4138,1,1333,2,5571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18465,1,392,1,9570,1,4982,1,18857,1,9570,1,0,1,0,0,0,0,0,0,0,1,4511,1,5059,1
29,18955400,4783,9570,34.763527,1240,0,14,11,132,56631,2655,4078,18898769,16,218,110,1,26401,1,90,1,1915564,1,2498275,1,184214,1,14260698,1,13416,1,597249,1,8957,4,594133,4,65496,4,4427355,4,8498746,8,12811120,132,110903,36,3747,1,45498,1,3767,1,5531,1,1864,2,5701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17239,1,139,1,9570,1,4783,1,17378,1,9570,1,0,1,0,0,0,0,0,0,0,1,4166,1,5404,1
30,18586100,4670,9570,34.680073,1240,0,13,11,132,45490,1683,3568,18540610,16,206,301,1,38103,1,150,1,2119737,1,2493756,1,118358,1,13756188,1,14017,1,500893,1,8677,4,534177,4,64985,4,4240796,4,8345872,8,12479952,132,103148,24,3366,1,40718,1,3206,1,5130,1,1333,2,5350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16931,1,131,1,9570,1,4670,1,17062,1,9570,1,0,1,0,0,0,0,0,0,0,1,4483,1,5087,1
31,17951700,4639,9570,34.593895,1240,0,13,11,132,44078,1343,3347,17907622,16,206,210,1,27202,1,230,1,1922548,1,2397852,1,109030,1,13437545,1,13005,1,391263,1,8356,4,522715,4,65766,4,4181833,4,8206865,8,12301620,132,83731,24,3116,1,43063,1,2835,1,3948,1,1272,2,5170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,0,1,0,0,0,0,0,0,0,1,4722,1,4848,1
