step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
0,20034900,4495,9570,35.998295,,0,9,9,108,78035,4970,5291,19956865,18,155,421,1,121916,1,391,1,2115430,1,2827508,1,857100,1,141395,1,13879908,1,12796,1,552215,1,8868,4,542505,4,69500,4,4282404,4,8394134,8,12671247,108,0,0,4780,1,17946,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0,0,1,0,1,9570,1
1,16682400,4300,9570,35.993866,,0,9,8,96,189798,3136,2525,16492602,18,155,160,1,49109,1,90,1,2136603,1,895488,1,857070,1,118559,1,12420291,1,15231,1,395749,1,7836,4,524449,4,64881,4,3871705,4,7527455,8,11374971,96,21664,12,3166,1,19369,1,2545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16277,1,27,1,9570,1,4300,1,16304,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
2,16530900,4339,9570,35.986713,,0,9,8,96,119823,1283,5601,16411077,18,155,230,1,31684,1,110,1,2177846,1,754333,1,857090,1,120563,1,12458639,1,10581,1,331489,1,7395,4,526393,4,64450,4,3972860,4,7529108,8,11467438,96,28928,12,3577,1,19519,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16269,1,36,1,9570,1,4339,1,16305,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
3,16020500,4335,9570,35.976837,,0,9,8,96,50463,1293,5612,15970037,18,155,160,1,35892,1,50,1,2070540,1,608148,1,857160,1,95322,1,12292183,1,10581,1,272450,1,7215,4,498927,4,64891,4,3850342,4,7572255,8,11392827,96,24159,12,3307,1,18918,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16306,1,30,1,9570,1,4335,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
4,15910300,4329,9570,35.964233,,0,9,8,96,50125,3707,2416,15860175,18,155,130,1,26443,1,50,1,1955337,1,613238,1,857180,1,95643,1,12301542,1,10611,1,266678,1,7285,4,497795,4,65202,4,3852396,4,7582306,8,11407566,96,24720,12,4018,1,19590,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16296,1,31,1,9570,1,4329,1,16327,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
5,15927700,4324,9570,35.948902,,0,9,8,96,48156,1182,5070,15879544,18,155,140,1,26654,1,80,1,1954205,1,613979,1,857170,1,94962,1,12321793,1,10561,1,268382,1,7305,4,500641,4,65212,4,3862567,4,7591514,8,11426255,96,22756,12,3237,1,19149,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16313,1,28,1,9570,1,4324,1,16341,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
6,16017800,4326,9570,35.93085,,0,9,8,96,138997,1443,2535,15878803,18,155,140,1,26614,1,80,1,1954636,1,606124,1,857010,1,93629,1,12327274,1,13297,1,305156,1,7124,4,497434,4,64671,4,3852126,4,7574560,8,11399270,96,24880,12,3247,1,18948,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,31,1,9570,1,4326,1,16349,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
7,16278900,4319,9570,35.910072,,0,9,8,96,125964,1393,2586,16152936,18,155,100,1,26744,1,120,1,2096612,1,745826,1,857060,1,99361,1,12310400,1,16714,1,269564,1,7034,4,499488,4,65342,4,3861966,4,7579881,8,11417467,96,21794,12,3297,1,19830,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,27,1,9570,1,4319,1,16343,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
8,16353300,4316,9570,35.88657,,0,9,8,96,100873,1263,2535,16252427,18,155,140,1,28678,1,110,1,2196444,1,745094,1,857020,1,99872,1,12308506,1,16563,1,291188,1,7816,4,514499,4,65051,4,3851966,4,7550461,8,11378248,96,21644,12,3206,1,20461,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16293,1,27,1,9570,1,4316,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
9,16231400,4312,9570,35.86034,,0,9,8,96,102983,1182,2275,16128417,18,155,140,1,27546,1,130,1,2128096,1,749152,1,857050,1,99441,1,12249938,1,16924,1,277971,1,7034,4,494178,4,64851,4,3839160,4,7539710,8,11362045,96,14549,12,3186,1,20081,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16297,1,18,1,9570,1,4312,1,16315,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
