step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
10,16394400,4307,9570,35.831387,,0,9,8,96,141209,1333,2445,16253191,18,155,160,1,34357,1,150,1,2073412,1,794737,1,831529,1,119955,1,12388880,1,10010,1,322101,1,7555,4,525329,4,65017,4,3906383,4,7535813,8,11428549,96,11202,12,3246,1,19488,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16300,1,14,1,9570,1,4307,1,16314,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
11,16689100,4307,9570,35.79971,,0,9,8,96,194837,1342,2275,16494263,18,155,170,1,39397,1,160,1,2188818,1,797793,1,831409,1,132480,1,12488836,1,15200,1,334836,1,7705,4,528165,4,65278,4,3985838,4,7540853,8,11516120,96,8296,12,3206,1,18957,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16310,1,10,1,9570,1,4307,1,16320,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
12,16852600,4306,9570,35.765305,,0,9,8,96,144649,1443,3587,16707951,18,155,160,1,36802,1,90,1,2235570,1,833713,1,831669,1,146717,1,12607889,1,15340,1,324746,1,8206,4,505901,4,65368,4,3956040,4,7719332,8,11660253,96,11533,12,3286,1,20931,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16316,1,14,1,9570,1,4306,1,16330,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
13,16251400,4306,9570,35.728176,,0,9,8,96,114457,1383,2445,16136943,18,155,200,1,34938,1,150,1,2088031,1,745120,1,831619,1,95026,1,12326137,1,15721,1,284237,1,7204,4,499448,4,65398,4,3876023,4,7567144,8,11430823,96,9899,12,3517,1,19047,1,2735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16323,1,12,1,9570,1,4306,1,16335,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
14,16217600,4307,9570,35.688324,,0,9,8,96,83873,1232,2376,16133727,18,155,140,1,38586,1,160,1,2225810,1,644974,1,831669,1,95898,1,12286410,1,10080,1,270540,1,7154,4,498877,4,65198,4,3860172,4,7558277,8,11403108,96,12965,12,3216,1,19087,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16324,1,16,1,9570,1,4307,1,16340,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
15,16596000,4306,9570,35.64575,,0,9,8,96,137337,1333,2415,16458663,18,155,170,1,35810,1,180,1,2172827,1,792232,1,831519,1,119073,1,12496782,1,10070,1,327462,1,7565,4,528596,4,65388,4,3984636,4,7557045,8,11524657,96,14609,12,3246,1,18907,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16319,1,18,1,9570,1,4306,1,16337,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
16,16765500,4303,9570,35.600445,,0,9,8,96,182273,2114,2435,16583227,18,155,170,1,37904,1,100,1,2250549,1,791811,1,831389,1,118452,1,12540317,1,12535,1,319486,1,7415,4,530459,4,65318,4,4032530,4,7551063,8,11566639,96,14518,12,3166,1,25881,1,2886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16322,1,18,1,9570,1,4303,1,16340,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
17,15982000,4298,9570,35.552414,,0,9,8,96,57423,1333,2485,15924577,18,155,170,1,37684,1,150,1,2092169,1,630676,1,831509,1,93944,1,12228185,1,10090,1,267504,1,7214,4,493146,4,64456,4,3841506,4,7525032,8,11350907,96,13146,12,3337,1,21913,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16320,1,16,1,9570,1,4298,1,16336,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
18,16061200,4298,9570,35.501663,,0,9,8,96,54222,1323,2435,16006978,18,155,170,1,36051,1,60,1,2101717,1,647288,1,831599,1,95297,1,12284826,1,9970,1,271322,1,7134,4,498426,4,65168,4,3859681,4,7556554,8,11400453,96,13346,12,3206,1,19448,1,2565,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16318,1,16,1,9570,1,4298,1,16334,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
19,15932100,4297,9570,35.448185,,0,9,8,96,50778,1272,3517,15881322,18,155,140,1,26231,1,60,1,1962124,1,650144,1,831629,1,95878,1,12305116,1,10000,1,271151,1,7144,4,499028,4,65348,4,3864110,4,7571002,8,11421625,96,9970,12,3647,1,19729,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16322,1,12,1,9570,1,4297,1,16334,1,9570,1,0,1,0,0,0,0,0,0,4495,1,5075,1,0,1
20,19461100,5077,9570,35.391983,,0,14,12,144,113127,1523,3507,19347973,18,215,150,1,26582,1,60,1,1960821,1,1039036,1,831609,1,172959,1,15300945,1,15811,1,357721,1,7675,4,598452,4,65358,4,4783651,4,9457858,8,14054753,144,183249,24,3617,1,22434,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19225,1,232,1,9570,1,5077,1,19457,1,9570,1,0,1,0,0,0,0,0,0,4495,1,4291,1,784,1
21,18814800,4687,9570,35.333054,,0,13,10,120,166417,1383,3107,18648383,18,203,140,1,37193,1,180,1,2187756,1,1826248,1,831529,1,138231,1,13613349,1,13757,1,371628,1,7685,4,571219,4,65679,4,4324281,4,8239181,8,12338751,120,221604,36,3697,1,25991,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16937,1,281,1,9570,1,4687,1,17218,1,9570,1,0,1,0,0,0,0,0,0,2756,1,4291,1,2523,1
22,18413200,4536,9570,35.2714,,0,12,10,120,145252,1603,3207,18267948,18,191,170,1,33546,1,110,1,2232904,1,1695993,1,832401,1,120276,1,13341897,1,10651,1,383932,1,7545,4,546941,4,65649,4,4268883,4,8015252,8,12173147,120,107781,24,4008,1,45319,1,2765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16654,1,137,1,9570,1,4536,1,16791,1,9570,1,0,1,0,0,0,0,0,0,2756,1,4748,1,2066,1
23,18035600,4464,9570,35.207024,,0,12,10,120,151805,1753,2966,17883795,18,191,331,1,38355,1,160,1,2132638,1,1613230,1,831649,1,134233,1,13123179,1,10020,1,431215,1,7465,4,539787,4,65248,4,4135081,4,7914795,8,11989357,120,57553,24,3306,1,21923,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16487,1,73,1,9570,1,4464,1,16560,1,9570,1,0,1,0,0,0,0,0,0,2756,1,4935,1,1879,1
24,17668300,4397,9570,35.13992,,0,12,9,108,144280,1333,3006,17524020,18,191,170,1,38455,1,170,1,2101918,1,1515178,1,831619,1,129253,1,12897216,1,10040,1,338704,1,7515,4,532764,4,65378,4,4123137,4,7802525,8,11680462,108,242194,36,3236,1,19999,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16064,1,305,1,9570,1,4397,1,16369,1,9570,1,0,1,0,0,0,0,0,0,2756,1,5015,1,1799,1
25,17698300,4359,9570,35.07009,,0,11,9,108,130694,1433,2976,17567606,18,179,170,1,35600,1,130,1,2188207,1,1512313,1,831459,1,127740,1,12861947,1,10040,1,336149,1,7555,4,528676,4,65228,4,4149489,4,7748009,8,11729458,108,165063,24,3226,1,19578,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16056,1,209,1,9570,1,4359,1,16265,1,9570,1,0,1,0,0,0,0,0,0,2757,1,5097,1,1716,1
26,17544000,4312,9570,34.997536,,0,11,9,108,66401,2395,3086,17477599,18,179,170,1,35339,1,80,1,2269175,1,1385474,1,832100,1,105226,1,12838972,1,11062,1,511462,1,8206,4,493988,4,65418,4,3940029,4,7764291,8,11559055,108,142179,24,3938,1,45469,1,3777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15990,1,179,1,9570,1,4312,1,16169,1,9570,1,0,1,0,0,0,0,0,0,2756,1,5145,1,1669,1
27,17138800,4295,9570,34.92226,,0,11,9,108,60303,2425,3617,17078497,18,179,341,1,27985,1,150,1,1967144,1,1387719,1,831749,1,101870,1,12749797,1,11743,1,412348,1,10360,4,500871,4,67202,4,3948676,4,7753249,8,11572420,108,125887,24,3998,1,47924,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15966,1,157,1,9570,1,4295,1,16123,1,9570,1,0,1,0,0,0,0,0,0,2756,1,5196,1,1618,1
28,19979900,4934,9570,34.844257,,0,14,11,132,58433,2145,3648,19921467,18,215,240,1,28766,1,40,1,1966723,1,1747503,1,831920,1,128371,1,15207793,1,10110,1,514267,1,7374,4,578062,4,65608,4,4739876,4,9261574,8,13680900,132,316901,36,3657,1,32634,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18359,1,400,1,9570,1,4934,1,18759,1,9570,1,0,1,0,0,0,0,0,0,2761,1,4556,1,2253,1
29,18810100,4786,9570,34.763527,,0,15,11,132,50499,1463,3678,18759601,18,227,250,1,25630,1,60,1,1954860,1,1951553,1,831599,1,120115,1,13865563,1,9970,1,345577,1,7354,4,539617,4,67162,4,4340824,4,8532255,8,12676644,132,192758,48,3477,1,25189,1,2645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17137,1,243,1,9570,1,4786,1,17380,1,9570,1,0,1,0,0,0,0,0,0,2156,1,4210,1,3204,1
30,18277400,4665,9570,34.680073,,0,14,11,132,37006,1182,3477,18240394,18,215,30,1,26953,1,80,1,1954579,1,1789075,1,831509,1,116107,1,13512101,1,9960,1,308464,1,7244,4,528075,4,65328,4,4239295,4,8332143,8,12440251,132,127710,36,3437,1,24338,1,2595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16875,1,161,1,9570,1,4665,1,17036,1,9570,1,0,1,0,0,0,0,0,0,2156,1,4524,1,2890,1
31,18063000,4617,9570,34.593895,,0,14,11,132,38509,1222,3237,18024491,18,215,20,1,27083,1,50,1,1958547,1,1719629,1,831549,1,112941,1,13364682,1,9990,1,306190,1,7455,4,521522,4,65478,4,4196561,4,8237438,8,12275748,132,155014,36,3337,1,22905,1,2575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16641,1,196,1,9570,1,4617,1,16837,1,9570,1,0,1,0,0,0,0,0,0,2156,1,4741,1,2673,1
32,18495400,4578,9570,34.504993,,0,14,11,132,108149,1473,3517,18387251,18,215,130,1,32203,1,150,1,2235950,1,1929951,1,831659,1,116889,1,13224287,1,16031,1,370285,1,7364,4,513546,4,65007,4,4131434,4,8104357,8,12095595,132,136678,36,3457,1,24728,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16423,1,174,1,9570,1,4578,1,16597,1,9570,1,0,1,0,0,0,0,0,0,2156,1,4836,1,2578,1
33,18070300,4536,9570,34.413364,,0,14,10,120,103853,1343,3177,17966447,18,215,130,1,26472,1,140,1,2149190,1,1840957,1,831539,1,116288,1,12985740,1,15991,1,302232,1,7154,4,509809,4,65308,4,4077588,4,7994752,8,11748405,120,320758,48,3286,1,21682,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16013,1,407,1,9570,1,4536,1,16420,1,9570,1,0,1,0,0,0,0,0,0,2156,1,4905,1,2509,1
34,20317200,5039,9570,34.31901,,0,14,11,132,114993,1353,3718,20202207,18,215,120,1,27163,1,140,1,2119983,1,2063773,1,831479,1,137008,1,15006649,1,15891,1,329405,1,8056,4,576900,4,65769,4,4707312,4,9277485,8,13670941,132,310138,36,3978,1,33726,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18101,1,392,1,9570,1,5039,1,18493,1,9570,1,0,1,0,0,0,0,0,0,2157,1,4383,1,3030,1
35,19260600,4827,9570,34.221935,,0,14,11,132,104312,1483,3317,19156288,18,215,140,1,26552,1,160,1,2039275,1,2412386,1,831499,1,129544,1,13700730,1,16001,1,363392,1,7274,4,531842,4,64947,4,4283942,4,8417119,8,12540948,132,156797,36,3507,1,24568,1,2655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16826,1,199,1,9570,1,4827,1,17025,1,9570,1,0,1,0,0,0,0,0,0,1650,1,4170,1,3750,1
36,18595200,4630,9570,34.12213,,0,13,10,120,108514,1293,3387,18486686,18,203,130,1,26672,1,150,1,2191664,1,2206923,1,831579,1,122630,1,13091306,1,15631,1,316079,1,7294,4,509087,4,65959,4,4104471,4,8056152,8,11858050,120,299186,36,3316,1,25099,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,381,1,9570,1,4630,1,16305,1,9570,1,0,1,0,0,0,0,0,0,1650,1,4422,1,3498,1
37,17955200,4510,9570,34.019604,,0,13,10,120,89430,1603,3447,17865770,18,203,80,1,27203,1,150,1,2073432,1,2064214,1,831469,1,118723,1,12740509,1,9990,1,367951,1,7705,4,518456,4,64987,4,3965278,4,7764932,8,11513986,120,212777,36,6733,1,40199,1,2665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15468,1,267,1,9570,1,4510,1,15735,1,9570,1,0,1,0,0,0,0,0,0,1651,1,4643,1,3276,1
38,17379600,4408,9570,33.91435,,0,13,10,120,106281,1313,3217,17273319,18,203,90,1,37083,1,120,1,1923278,1,1996922,1,831529,1,116809,1,12351607,1,15881,1,296852,1,7415,4,479529,4,65117,4,3872176,4,7599798,8,11269457,120,199300,36,3206,1,23586,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15140,1,253,1,9570,1,4408,1,15393,1,9570,1,0,1,0,0,0,0,0,0,1667,1,4873,1,3030,1
39,19751600,4880,9570,33.806374,,0,14,11,132,101214,1363,3677,19650386,18,215,100,1,27504,1,150,1,2172235,1,2313713,1,831569,1,135726,1,14153367,1,16021,1,339215,1,7635,4,538585,4,65017,4,4435429,4,8730393,8,12912626,132,249519,36,3587,1,29247,1,2896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16972,1,316,1,9570,1,4880,1,17288,1,9570,1,0,1,0,0,0,0,0,0,1677,1,4489,1,3404,1
40,20016400,4979,9570,33.69567,,0,14,11,132,101736,1323,3537,19914664,18,215,70,1,26682,1,130,1,2192465,1,2644661,1,831439,1,135766,1,14067308,1,16142,1,352140,1,7364,4,540769,4,65118,4,4418466,4,8647140,8,12862758,132,199310,36,3547,1,28857,1,2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16970,1,251,1,9570,1,4979,1,17221,1,9570,1,0,1,0,0,0,0,0,0,1236,1,3941,1,4393,1
41,19384800,4855,9570,33.58224,,0,14,11,132,103126,1373,3727,19281674,18,215,100,1,26762,1,150,1,2205190,1,2530097,1,831539,1,132580,1,13539454,1,15801,1,349004,1,7455,4,523135,4,64877,4,4260977,4,8298928,8,12300607,132,255571,36,3587,1,27494,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16229,1,324,1,9570,1,4855,1,16553,1,9570,1,0,1,0,0,0,0,0,0,1241,1,4196,1,4133,1
42,18760900,4689,9570,33.466087,,0,15,10,120,137356,1433,3567,18623544,18,227,110,1,32524,1,150,1,2145473,1,2352459,1,831609,1,138872,1,13112297,1,10050,1,384413,1,7615,4,539547,4,64897,4,4188255,4,7895518,8,11706544,120,373662,60,3397,1,24598,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15337,1,474,1,9570,1,4689,1,15811,1,9570,1,0,1,0,0,0,0,0,0,1278,1,4489,1,3803,1
43,18414500,4655,9570,33.34721,,0,14,10,120,188715,1333,3558,18225785,18,215,160,1,37153,1,130,1,2178588,1,2360715,1,831459,1,123412,1,12681614,1,12555,1,305198,1,7525,4,495160,4,65057,4,3980789,4,7795171,8,11385664,120,386738,48,3407,1,25420,1,2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15071,1,491,1,9570,1,4655,1,15562,1,9570,1,0,1,0,0,0,0,0,0,1283,1,4672,1,3615,1
44,20112000,5072,9570,33.22561,,0,14,12,144,136638,1413,3538,19975362,18,215,100,1,33746,1,220,1,1938958,1,2491110,1,831489,1,171286,1,14498353,1,10100,1,404442,1,8266,4,584625,4,65248,4,4596264,4,8803156,8,13243814,144,152068,24,3988,1,28265,1,2685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17087,1,192,1,9570,1,5072,1,17279,1,9570,1,0,1,0,0,0,0,0,0,1383,1,4323,1,3864,1
45,20550800,5053,9570,33.10128,,0,14,12,144,197337,1212,3568,20353463,18,215,160,1,37664,1,140,1,2256471,1,2809754,1,831519,1,136467,1,14268853,1,12434,1,444350,1,7585,4,543655,4,64887,4,4447783,4,8724872,8,13038642,144,130446,24,4158,1,27724,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17008,1,164,1,9570,1,5053,1,17172,1,9570,1,0,1,0,0,0,0,0,0,907,1,3904,1,4759,1
46,19218800,4767,9570,32.974224,,0,14,11,132,135084,1533,3367,19083716,18,215,90,1,26031,1,120,1,2150723,1,2567781,1,831709,1,142609,1,13354622,1,10030,1,406366,1,7695,4,542242,4,67562,4,4239946,4,8057896,8,12117017,132,177458,36,3567,1,25189,1,2625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15752,1,224,1,9570,1,4767,1,15976,1,9570,1,0,1,0,0,0,0,0,0,905,1,4118,1,4547,1
47,18447300,4624,9570,32.844448,,0,14,11,132,215483,1323,3497,18231817,18,215,170,1,36882,1,150,1,2087670,1,2615204,1,831479,1,125877,1,12521630,1,12755,1,318073,1,7344,4,484519,4,64827,4,3918567,4,7691458,8,11489868,132,116659,36,3477,1,29247,1,2795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15050,1,148,1,9570,1,4624,1,15198,1,9570,1,0,1,0,0,0,0,0,0,967,1,4489,1,4114,1
