step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_parity_canary_ns,sys_parity_canary_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n
0,9571100,4495,9570,35.998295,,0,9,9,108,95209,7023,5460,9475891,18,152,812,1,121803,1,281,1,1959519,1,2729663,1,433930,1,138906,1,4077542,1,13436,1,605729,1,10039,4,538350,4,66878,4,946220,4,1874036,8,2814796,108,0,0,3246,1,23064,1,2956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,1,0,1,9570,1,4495,1,17980,1,9570,1,0,1,0,0,0,0,0,0
1,8643300,4196,9570,35.993866,,0,8,8,96,62382,1403,4158,8580918,18,140,150,1,35227,1,220,1,1946534,1,2475977,1,433880,1,104580,1,3572836,1,11512,1,371210,1,7474,4,482453,4,65986,4,879463,4,1730371,8,2605676,96,0,0,3857,1,27873,1,2745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15924,1,0,1,9570,1,4196,1,15924,1,9570,1,0,1,0,0,0,0,0,0
2,8751300,4142,9570,35.986713,,0,8,8,96,86982,4980,6423,8664318,18,140,331,1,25318,1,120,1,1957245,1,2401976,1,433800,1,98258,1,3735948,1,11322,1,466703,1,11332,4,565582,4,74843,4,879282,4,1693921,8,2566781,96,0,0,2805,1,31621,1,4879,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15744,1,0,1,9570,1,4142,1,15744,1,9570,1,0,1,0,0,0,0,0,0
3,8792700,4111,9570,35.976837,,0,8,8,96,60883,1703,7485,8731817,18,140,170,1,34626,1,160,1,2179430,1,2396335,1,433820,1,105873,1,3570101,1,11302,1,411016,1,8376,4,477253,4,65816,4,864865,4,1716174,8,2573554,96,0,0,3026,1,19257,1,2615,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15687,1,0,1,9570,1,4111,1,15687,1,9570,1,0,1,0,0,0,0,0,0
4,8401300,4100,9570,35.964233,,0,8,8,96,60912,1643,5922,8340388,18,140,271,1,24196,1,220,1,1956213,1,2368201,1,433870,1,86135,1,3459970,1,11312,1,310775,1,7975,4,474137,4,65636,4,865596,4,1701916,8,2561591,96,0,0,3006,1,26681,1,2605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15670,1,0,1,9570,1,4100,1,15670,1,9570,1,0,1,0,0,0,0,0,0
5,8306400,4087,9570,35.948902,,0,8,8,96,58880,1253,2395,8247520,18,140,200,1,24096,1,90,1,1955972,1,2317454,1,433800,1,85724,1,3419182,1,11001,1,280807,1,7414,4,475219,4,67288,4,856779,4,1700934,8,2555319,96,0,0,3607,1,23064,1,2815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15642,1,0,1,9570,1,4087,1,15642,1,9570,1,0,1,0,0,0,0,0,0
6,8429200,4079,9570,35.93085,,0,8,8,96,60989,1463,2475,8368211,18,140,140,1,24266,1,150,1,1956904,1,2335378,1,433760,1,86806,1,3519524,1,11282,1,349609,1,8136,4,496971,4,67559,4,859705,4,1705814,8,2563044,96,0,0,2886,1,24747,1,2635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15666,1,0,1,9570,1,4079,1,15666,1,9570,1,0,1,0,0,0,0,0,0
7,8627900,4073,9570,35.910072,,0,8,8,96,81017,2324,2635,8546883,18,140,150,1,24106,1,140,1,1956123,1,2375495,1,433960,1,94170,1,3650084,1,12654,1,443949,1,9388,4,522390,4,69433,4,861188,4,1701455,8,2560008,96,0,0,3056,1,33795,1,3106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4073,1,15684,1,9570,1,0,1,0,0,0,0,0,0
8,9174600,4066,9570,35.88657,,0,8,8,96,100272,2004,2665,9074328,18,140,210,1,25789,1,190,1,1956063,1,2947705,1,434131,1,95212,1,3601882,1,13145,1,429071,1,9198,4,475209,4,65806,4,855046,4,1723728,8,2576109,96,0,0,3467,1,35458,1,2896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15684,1,0,1,9570,1,4066,1,15684,1,9570,1,0,1,0,0,0,0,0,0
9,8511400,4061,9570,35.86034,,0,8,8,96,62685,2144,2685,8448715,18,140,301,1,27453,1,371,1,1964649,1,2471248,1,433790,1,87016,1,3452326,1,11562,1,304953,1,7484,4,477343,4,69824,4,854525,4,1705183,8,2557022,96,0,0,4589,1,23505,1,2775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15705,1,0,1,9570,1,4061,1,15705,1,9570,1,0,1,0,0,0,0,0,0
