# UG-15 sensitivity map (a): source files of every frame, inlined frames included, over each pinned body (03 §6; route a1).
# subject	cand	pin	file
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/alloc/layout.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/cmp.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/intrinsics/mod.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/iter/range.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/num/uint_macros.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/option.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/const_ptr.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/mod.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/mut_ptr.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/ptr/non_null.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/slice/index.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/slice/mod.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/core/src/sync/atomic.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/std/src/alloc.rs
boyko_demo	P29-3	boyko_ecs::ecs::core::change_detection::check_ticks::run_check_ticks_scan	library/std/src/sys/alloc/windows.rs
