step,wall_ns,manifolds,pairs,top_y,awake,void,colors,wide_colors,waves,g_ns,u_ns,r_ns,sys_sum_ns,disp_lane,worker_lane_max,sys_physics_integrate_ns,sys_physics_integrate_n,sys_physics_gather_ns,sys_physics_gather_n,sys_select_broadphase_ns,sys_select_broadphase_n,sys_physics_broadphase_ns,sys_physics_broadphase_n,sys_physics_narrowphase_ns,sys_physics_narrowphase_n,sys_physics_build_graph_ns,sys_physics_build_graph_n,sys_physics_solve_colored_ns,sys_physics_solve_colored_n,sys_physics_apply_ns,sys_physics_apply_n,phys_solve_build_ns,phys_solve_build_n,phys_gravity_ns,phys_gravity_n,phys_warm_apply_ns,phys_warm_apply_n,phys_integrate_ns,phys_integrate_n,phys_pass_biased_ns,phys_pass_biased_n,phys_pass_relax_ns,phys_pass_relax_n,phys_color_wide_ns,phys_color_wide_n,phys_color_narrow_ns,phys_color_narrow_n,phys_restitution_ns,phys_restitution_n,phys_store_ns,phys_store_n,phys_write_back_ns,phys_write_back_n,phys_sleep_begin_ns,phys_sleep_begin_n,phys_sleep_freeze_ns,phys_sleep_freeze_n,phys_sleep_end_ns,phys_sleep_end_n,phys_np_dispatch_ns,phys_np_dispatch_n,phys_np_compact_ns,phys_np_compact_n,phys_np_axis_commit_ns,phys_np_axis_commit_n,phys_bp_verify_ns,phys_bp_verify_n,phys_bp_build_ns,phys_bp_build_n,phys_bp_query_ns,phys_bp_query_n,phys_bp_assemble_ns,phys_bp_assemble_n,phys_slots_wide,phys_slots_wide_n,phys_slots_narrow,phys_slots_narrow_n,phys_np_pairs,phys_np_pairs_n,phys_np_manifolds,phys_np_manifolds_n,phys_np_points,phys_np_points_n,phys_bp_pairs,phys_bp_pairs_n,phys_np_chunks,phys_np_chunks_n,phys_bp_queried,phys_bp_queried_n,phys_bp_members,phys_bp_members_n,phys_bp_rebuilds,phys_bp_rebuilds_n,phys_np_reused,phys_np_reused_n,phys_np_sep_hits,phys_np_sep_hits_n,phys_np_full,phys_np_full_n
10,1996600,4053,9570,35.831387,,0,8,8,96,32076,1032,1844,1964524,16,152,20,1,30299,1,90,1,257485,1,313184,1,94586,1,1258850,1,10010,1,296331,1,11913,4,309527,4,77542,4,189702,4,345889,8,533747,96,0,0,2675,1,21562,1,2675,1,0,0,0,0,0,0,281893,1,17274,1,4699,1,5471,1,22634,1,192888,1,36331,1,15690,1,0,1,9570,1,4053,1,15690,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5506,1,4064,1
11,1893500,4054,9570,35.79971,,0,8,8,96,30175,1112,1735,1863325,16,152,50,1,27394,1,30,1,253688,1,303024,1,83033,1,1186097,1,10010,1,271823,1,11292,4,263357,4,77773,4,186837,4,347091,8,532193,96,0,0,2565,1,21512,1,2735,1,0,0,0,0,0,0,271613,1,17985,1,4749,1,4709,1,21783,1,198169,1,28817,1,15715,1,0,1,9570,1,4054,1,15715,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5510,1,4060,1
12,1887300,4056,9570,35.765305,,0,8,8,96,30437,1002,1744,1856863,16,152,120,1,27634,1,90,1,254048,1,299217,1,82582,1,1183251,1,9919,1,271332,1,11332,4,264288,4,78324,4,184572,4,345428,8,528256,96,0,0,2585,1,21642,1,2745,1,0,0,0,0,0,0,268948,1,17084,1,4649,1,4729,1,21081,1,199171,1,28927,1,15716,1,0,1,9570,1,4056,1,15716,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5509,1,4061,1
13,1950500,4055,9570,35.728176,,0,8,8,96,31074,962,1604,1919426,16,152,10,1,26793,1,40,1,253477,1,349696,1,81380,1,1197960,1,10070,1,279278,1,11533,4,264980,4,77883,4,190574,4,346039,8,535009,96,0,0,2645,1,21352,1,2715,1,0,0,0,0,0,0,321020,1,15530,1,4589,1,4719,1,21352,1,198329,1,28877,1,15731,1,0,1,9570,1,4055,1,15731,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5510,1,4060,1
14,1953700,4060,9570,35.688324,,0,8,8,96,31299,1012,2014,1922401,16,152,140,1,27314,1,100,1,253928,1,317493,1,86139,1,1227007,1,10280,1,267495,1,12464,4,272565,4,83664,4,198199,4,364455,8,560640,96,0,0,2625,1,21813,1,2715,1,0,0,0,0,0,0,288867,1,15540,1,4629,1,4719,1,20620,1,199762,1,28626,1,15731,1,0,1,9570,1,4060,1,15731,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5509,1,4061,1
15,1897900,4057,9570,35.64575,,0,8,8,96,31589,1062,1964,1866311,16,152,50,1,27614,1,40,1,257776,1,288386,1,84927,1,1197429,1,10090,1,271633,1,11743,4,265832,4,78223,4,189872,4,352071,8,539979,96,0,0,2615,1,21683,1,2695,1,0,0,0,0,0,0,257706,1,17514,1,4649,1,4779,1,21011,1,202828,1,28987,1,15734,1,0,1,9570,1,4057,1,15734,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5508,1,4062,1
16,1938600,4055,9570,35.600445,,0,8,8,96,32330,1052,1995,1906270,16,152,40,1,27644,1,50,1,268427,1,304117,1,84305,1,1211557,1,10130,1,272414,1,11362,4,264789,4,78183,4,193239,4,363433,8,554678,96,0,0,2615,1,21803,1,2665,1,0,0,0,0,0,0,273456,1,17514,1,4639,1,4769,1,21242,1,213288,1,28917,1,15727,1,0,1,9570,1,4055,1,15727,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5511,1,4059,1
17,1987100,4051,9570,35.552414,,0,8,8,96,39048,1373,1924,1948052,16,152,150,1,30470,1,70,1,298666,1,301071,1,101439,1,1205385,1,10801,1,282905,1,11372,4,268717,4,78434,4,188780,4,346770,8,533626,96,0,0,2685,1,21662,1,2685,1,0,0,0,0,0,0,267645,1,18777,1,4559,1,10711,1,22935,1,228308,1,36301,1,15724,1,0,1,9570,1,4051,1,15724,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5511,1,4059,1
18,1968000,4049,9570,35.501663,,0,8,8,96,30609,1092,1974,1937391,16,152,20,1,30460,1,60,1,275130,1,300249,1,104565,1,1216737,1,10170,1,293626,1,11372,4,266803,4,78414,4,193069,4,345408,8,536502,96,0,0,2635,1,21622,1,2695,1,0,0,0,0,0,0,267274,1,18456,1,4689,1,5330,1,23286,1,209471,1,36822,1,15728,1,0,1,9570,1,4049,1,15728,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5517,1,4053,1
19,1911400,4050,9570,35.448185,,0,8,8,96,30099,1212,1884,1881301,16,152,40,1,27764,1,30,1,259740,1,296842,1,84877,1,1201637,1,10370,1,273046,1,11342,4,266002,4,78464,4,190063,4,354666,8,542845,96,0,0,2645,1,21472,1,2725,1,0,0,0,0,0,0,265832,1,17584,1,4689,1,4689,1,20260,1,205563,1,29047,1,15736,1,0,1,9570,1,4050,1,15736,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5519,1,4051,1
20,2346600,4829,9570,35.391983,,0,14,12,144,29865,1183,4238,2316735,16,224,20,1,27684,1,80,1,259128,1,359125,1,119675,1,1540873,1,10150,1,365958,1,11733,4,319367,4,78434,4,248257,4,484701,8,699202,144,29518,24,3146,1,25400,1,2695,1,0,0,0,0,0,0,310639,1,28927,1,10150,1,4759,1,21121,1,204010,1,29077,1,18718,1,144,1,9570,1,4829,1,18862,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4736,1,4834,1
21,2559500,4715,9570,35.333054,,0,13,11,132,34777,1363,5280,2524723,16,209,100,1,27133,1,30,1,288787,1,426376,1,118001,1,1653614,1,10681,1,369585,1,13436,4,369805,4,90117,4,244580,4,513938,8,728058,132,25179,24,6262,1,41491,1,3036,1,0,0,0,0,0,0,390526,1,17615,1,7515,1,5080,1,23165,1,225603,1,34658,1,17266,1,101,1,9570,1,4715,1,17367,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4361,1,5209,1
22,2469000,4565,9570,35.2714,,0,13,10,120,33227,1453,3367,2435773,16,212,160,1,30169,1,60,1,292955,1,395130,1,123733,1,1583527,1,10040,1,360227,1,13607,4,357461,4,83664,4,256042,4,476284,8,674293,120,54667,36,4579,1,27344,1,2866,1,0,0,0,0,0,0,355783,1,19849,1,6783,1,5060,1,23135,1,229791,1,34598,1,16624,1,220,1,9570,1,4565,1,16844,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4678,1,4892,1
23,2311800,4496,9570,35.207024,,0,13,10,120,34282,1192,3828,2277518,16,212,130,1,26893,1,60,1,279599,1,393793,1,98794,1,1468140,1,10110,1,310319,1,12044,4,295710,4,84646,4,243177,4,483018,8,678350,120,44016,36,6192,1,29037,1,2806,1,0,0,0,0,0,0,359325,1,16953,1,5882,1,4789,1,21242,1,224019,1,29307,1,16445,1,200,1,9570,1,4496,1,16645,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4859,1,4711,1
24,2131500,4419,9570,35.13992,,0,12,10,120,31831,1072,4339,2099669,16,200,120,1,27243,1,110,1,273086,1,371168,1,96099,1,1321643,1,10200,1,303385,1,11352,4,288887,4,78454,4,211525,4,396257,8,587833,120,15611,24,2906,1,25149,1,2655,1,0,0,0,0,0,0,335428,1,18977,1,5531,1,4719,1,20370,1,218549,1,29227,1,16356,1,88,1,9570,1,4419,1,16444,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4975,1,4595,1
25,2141100,4390,9570,35.07009,,0,12,9,108,31662,1102,4018,2109438,16,200,40,1,26843,1,70,1,267735,1,362671,1,96229,1,1345720,1,10130,1,298075,1,11102,4,287003,4,78444,4,217086,4,423110,8,581210,108,54968,36,3667,1,23446,1,2685,1,0,0,0,0,0,0,326921,1,19118,1,5511,1,4589,1,20961,1,212988,1,29007,1,16055,1,291,1,9570,1,4390,1,16346,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5061,1,4509,1
26,2109800,4353,9570,34.997536,,0,12,9,108,30862,1042,3958,2078938,16,200,10,1,27404,1,30,1,265531,1,362100,1,95147,1,1318697,1,10020,1,297233,1,11372,4,286352,4,78614,4,216214,4,398913,8,565459,108,45710,36,2886,1,23426,1,2645,1,0,0,0,0,0,0,327272,1,18526,1,5581,1,4679,1,20630,1,210683,1,29368,1,16062,1,229,1,9570,1,4353,1,16291,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5113,1,4457,1
27,2156900,4336,9570,34.92226,,0,12,9,108,37662,1252,5391,2119238,16,200,160,1,30490,1,30,1,299478,1,340769,1,101189,1,1336933,1,10190,1,301491,1,11963,4,299437,4,81209,4,212086,4,400275,8,566271,108,40700,36,2906,1,23536,1,2775,1,0,0,0,0,0,0,305610,1,18406,1,5340,1,11853,1,23907,1,226945,1,36401,1,16019,1,201,1,9570,1,4336,1,16220,1,9570,1,48,1,1240,1,1,1,0,1,0,1,5148,1,4422,1
28,2526300,4982,9570,34.844257,,0,14,11,132,32548,1333,4629,2493752,16,224,150,1,30340,1,40,1,292334,1,386558,1,134604,1,1639637,1,10090,1,437989,1,11994,4,338193,4,77763,4,251734,4,485793,8,665986,132,66911,36,3296,1,28807,1,2735,1,0,0,0,0,0,0,341871,1,21933,1,9559,1,5350,1,23376,1,226815,1,36482,1,18465,1,392,1,9570,1,4982,1,18857,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4511,1,5059,1
29,2331700,4783,9570,34.763527,,0,14,11,132,32008,1203,5160,2299692,16,224,20,1,30309,1,50,1,279689,1,404383,1,123733,1,1451498,1,10010,1,344967,1,11833,4,314246,4,77913,4,233558,4,435454,8,633132,132,30720,36,3036,1,26612,1,2675,1,0,0,0,0,0,0,363784,1,21823,1,6272,1,5250,1,23586,1,213920,1,36662,1,17239,1,139,1,9570,1,4783,1,17378,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4166,1,5404,1
30,2272500,4670,9570,34.680073,,0,13,11,132,30291,1042,4470,2242209,16,212,40,1,26342,1,70,1,266673,1,412609,1,109835,1,1416559,1,10080,1,325980,1,11663,4,307984,4,78103,4,228939,4,430345,8,628753,132,26061,24,3036,1,26773,1,2695,1,0,0,0,0,0,0,375016,1,18216,1,6342,1,4609,1,21612,1,210683,1,29578,1,16931,1,131,1,9570,1,4670,1,17062,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4483,1,5087,1
31,2224100,4639,9570,34.593895,,0,13,11,132,31889,1052,4690,2192211,16,212,10,1,26742,1,100,1,265892,1,385055,1,106469,1,1397882,1,10060,1,323855,1,11873,4,305439,4,78544,4,224060,4,421507,8,617180,132,23696,24,3076,1,25801,1,2675,1,0,0,0,0,0,0,346229,1,19588,1,6152,1,4629,1,21342,1,210713,1,29027,1,16699,1,106,1,9570,1,4639,1,16805,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4722,1,4848,1
32,2202000,4573,9570,34.504993,,0,13,11,132,29929,1042,4800,2172071,16,212,70,1,26492,1,60,1,270441,1,374485,1,105126,1,1385177,1,10220,1,313796,1,11943,4,300730,4,78504,4,222446,4,425615,8,617491,132,25771,24,2976,1,25470,1,2655,1,0,0,0,0,0,0,338995,1,17534,1,5511,1,4599,1,21382,1,215282,1,28977,1,16368,1,130,1,9570,1,4573,1,16498,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4818,1,4752,1
33,2166700,4491,9570,34.413364,,0,13,11,132,29978,1122,4590,2136722,16,212,50,1,27344,1,50,1,267775,1,362491,1,103854,1,1365018,1,10140,1,310168,1,11994,4,296171,4,78734,4,221004,4,415325,8,611278,132,20460,24,2946,1,24859,1,2695,1,0,0,0,0,0,0,325178,1,18276,1,6242,1,4699,1,20721,1,213228,1,28917,1,16106,1,116,1,9570,1,4491,1,16222,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4921,1,4649,1
34,2401100,5031,9570,34.31901,,0,14,11,132,29167,1072,5061,2371933,16,224,30,1,27424,1,110,1,260401,1,412319,1,125015,1,1536404,1,10230,1,345818,1,12124,4,331961,4,78314,4,250722,4,482897,8,666216,132,62342,36,3256,1,27504,1,2735,1,0,0,0,0,0,0,369124,1,20320,1,9829,1,4669,1,20861,1,205894,1,28786,1,17973,1,388,1,9570,1,5031,1,18361,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4411,1,5159,1
35,2450900,4806,9570,34.221935,,0,14,11,132,30462,972,4829,2420438,16,224,120,1,26803,1,40,1,282043,1,500792,1,117450,1,1482989,1,10200,1,337181,1,12084,4,318825,4,79055,4,243397,4,458219,8,666578,132,30209,36,3116,1,27464,1,2675,1,0,0,0,0,0,0,462137,1,17935,1,7384,1,4639,1,20941,1,224500,1,31782,1,16833,1,118,1,9570,1,4806,1,16951,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4151,1,5419,1
36,2297200,4646,9570,34.12213,,0,14,11,132,30163,1022,4941,2267037,16,224,110,1,27053,1,100,1,273487,1,410105,1,113132,1,1432951,1,10100,1,332212,1,11793,4,309086,4,78674,4,233117,4,435043,8,634554,132,28666,36,3016,1,26312,1,2675,1,0,0,0,0,0,0,369284,1,18907,1,7415,1,4649,1,21422,1,217707,1,29518,1,16171,1,126,1,9570,1,4646,1,16297,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4397,1,5173,1
37,2255600,4535,9570,34.019604,,0,13,10,120,29884,1082,4459,2225716,16,212,120,1,27334,1,100,1,269679,1,390887,1,110166,1,1417310,1,10120,1,320038,1,11833,4,300259,4,78895,4,228318,4,443189,8,604866,120,62182,36,5741,1,25199,1,2755,1,0,0,0,0,0,0,349626,1,18807,1,7224,1,4649,1,21322,1,214601,1,28947,1,15408,1,325,1,9570,1,4535,1,15733,1,9570,1,48,1,1240,1,1,1,0,1,0,1,4643,1,4927,1
